Loading tilelang libs from dev root: /data/metax-race/tilelang-metax/build
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          kernel_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     115.040ms        47.25%     115.040ms     115.040ms             1  
                                        kernel_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us      81.633ms        33.53%      81.633ms      81.633ms             1  
                                            aten::copy_         0.14%     352.704us         9.02%      22.025ms     250.283us      20.465ms         8.41%      20.469ms     232.599us            88  
                                   aten::scatter_reduce         0.01%      35.179us         0.03%      84.575us      84.575us      18.935ms         7.78%      20.285ms      20.285ms             1  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us      18.935ms         7.78%      18.935ms       4.734ms             4  
                                           aten::repeat         0.00%      11.771us         0.03%      80.995us      80.995us       0.000us         0.00%      11.381ms      11.381ms             1  
void at::native::elementwise_kernel_2_1<128, 2, long...         0.00%       0.000us         0.00%       0.000us       0.000us      11.381ms         4.67%      11.381ms       2.845ms             4  
                         Memcpy HtoA (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       7.517ms         3.09%       7.517ms     141.824us            53  
                                            aten::index         0.07%     160.574us         0.12%     294.482us      18.405us       4.631ms         1.90%       4.631ms     289.408us            16  
void at::native::index_elementwise_kernel_1_2_broadc...         0.00%       0.000us         0.00%       0.000us       0.000us       4.574ms         1.88%       4.574ms     571.744us             8  
                                            aten::clone         0.05%     111.201us         0.35%     850.824us      17.016us       0.000us         0.00%       3.941ms      78.822us            50  
                                            aten::stack         0.01%      21.739us         0.04%      99.030us      33.010us       0.000us         0.00%       1.712ms     570.795us             3  
                                              aten::cat         0.02%      55.316us         0.03%      72.190us      24.063us       1.712ms         0.70%       1.712ms     570.795us             3  
void at::native::(anonymous namespace)::MACA_CatArra...         0.00%       0.000us         0.00%       0.000us       0.000us       1.712ms         0.70%       1.712ms     570.795us             3  
                                       aten::contiguous         0.01%      12.907us         0.17%     419.237us      17.468us       0.000us         0.00%       1.483ms      61.792us            24  
void at::native::elementwise_kernel_transpose_half_c...         0.00%       0.000us         0.00%       0.000us       0.000us       1.483ms         0.61%       1.483ms      61.792us            24  
                                           aten::matmul         0.01%      20.467us         0.05%     111.610us     111.610us       0.000us         0.00%     408.576us     408.576us             1  
                                               aten::mm         0.03%      66.280us         0.03%      79.553us      79.553us     408.576us         0.17%     408.576us     408.576us             1  
mcblas__Mck_hgemm_tn_128x128x128_4m1n8k_256t_fp16_fp...         0.00%       0.000us         0.00%       0.000us       0.000us     408.576us         0.17%     408.576us     408.576us             1  
                                            aten::zeros         0.00%       7.340us         0.03%      70.191us      35.096us       0.000us         0.00%     306.432us     153.216us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 244.220ms
Self CUDA time total: 243.458ms

