Loading tilelang libs from dev root: /data/metax-race/tilelang-metax/build
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          kernel_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      14.080ms        37.54%      14.080ms      14.080ms             1  
                                        kernel_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us      11.043ms        29.44%      11.043ms      11.043ms             1  
                                   aten::scatter_reduce         0.06%      23.001us         0.12%      44.352us      44.352us       4.757ms        12.68%       5.461ms       5.461ms             1  
                                            aten::copy_         0.52%     199.629us        15.72%       5.980ms     114.995us       5.389ms        14.37%       5.393ms     103.714us            52  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       4.757ms        12.68%       4.757ms       4.757ms             1  
                         Memcpy HtoA (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       2.755ms         7.34%       2.755ms      94.985us            29  
                                           aten::repeat         0.02%       8.936us         0.12%      44.070us      44.070us       0.000us         0.00%       2.326ms       2.326ms             1  
void at::native::elementwise_kernel_2_1<128, 2, long...         0.00%       0.000us         0.00%       0.000us       0.000us       2.326ms         6.20%       2.326ms       2.326ms             1  
                                            aten::index         0.23%      86.960us         0.40%     151.937us      18.992us       1.188ms         3.17%       1.188ms     148.480us             8  
                                            aten::clone         0.20%      76.987us         1.31%     497.532us      19.136us       0.000us         0.00%       1.136ms      43.697us            26  
void at::native::index_elementwise_kernel_1_2_broadc...         0.00%       0.000us         0.00%       0.000us       0.000us     582.144us         1.55%     582.144us     291.072us             2  
void at::native::index_elementwise_kernel_1_2_broadc...         0.00%       0.000us         0.00%       0.000us       0.000us     577.024us         1.54%     577.024us     288.512us             2  
                                          aten::argsort         0.01%       2.287us         0.34%     127.670us     127.670us       0.000us         0.00%     250.112us     250.112us             1  
                                             aten::sort         0.14%      53.377us         0.33%     125.383us     125.383us     168.192us         0.45%     250.112us     250.112us             1  
                                       aten::contiguous         0.02%       6.822us         0.61%     230.357us      19.196us       0.000us         0.00%     228.352us      19.029us            12  
void at::native::elementwise_kernel_transpose_half_c...         0.00%       0.000us         0.00%       0.000us       0.000us     228.352us         0.61%     228.352us      19.029us            12  
                                           aten::matmul         0.05%      18.503us         0.24%      90.126us      90.126us       0.000us         0.00%     211.200us     211.200us             1  
                                               aten::mm         0.14%      52.651us         0.17%      63.674us      63.674us     211.200us         0.56%     211.200us     211.200us             1  
mcblas__Mck_hgemm_tn_128x128x128_4m1n8k_256t_fp16_fp...         0.00%       0.000us         0.00%       0.000us       0.000us     211.200us         0.56%     211.200us     211.200us             1  
                                             aten::topk         0.06%      21.762us         0.08%      29.647us      29.647us     205.312us         0.55%     205.312us     205.312us             1  
void at::native::gatherTopK_opt<c10::Half, unsigned ...         0.00%       0.000us         0.00%       0.000us       0.000us     205.312us         0.55%     205.312us     205.312us             1  
                                            aten::zeros         0.01%       4.963us         0.15%      58.319us      29.160us       0.000us         0.00%     170.240us      85.120us             2  
                                            aten::zero_         0.03%      12.191us         0.12%      44.897us      22.449us       0.000us         0.00%     170.240us      85.120us             2  
                                            aten::fill_         0.04%      14.672us         0.09%      32.706us      16.353us     170.240us         0.45%     170.240us      85.120us             2  
void at::native::vectorized_elementwise_kernel_nulla...         0.00%       0.000us         0.00%       0.000us       0.000us     167.168us         0.45%     167.168us     167.168us             1  
                                         aten::bincount         0.07%      26.427us         3.70%       1.408ms       1.408ms      13.824us         0.04%     163.328us     163.328us             1  
                                            aten::stack         0.05%      19.940us         0.23%      87.549us      29.183us       0.000us         0.00%     157.952us      52.651us             3  
                                              aten::cat         0.12%      45.725us         0.17%      64.247us      21.416us     157.952us         0.42%     157.952us      52.651us             3  
void at::native::(anonymous namespace)::MACA_CatArra...         0.00%       0.000us         0.00%       0.000us       0.000us     157.952us         0.42%     157.952us      52.651us             3  
void at_cuda_detail::cub::DeviceRadixSortOnesweepKer...         0.00%       0.000us         0.00%       0.000us       0.000us     118.272us         0.32%     118.272us      14.784us             8  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 38.042ms
Self CUDA time total: 37.505ms

