Name,Description,Value
Total Instructions,number of all instructions,"3,755,590,265"
Compute Instructions,number of compute instructions,"3,045,326,678"
Memory Instructions,number of memory instructions,"710,263,587"
Total Cycles,cycles use by kernel,"186,836.17(Kcycles)"
Memory Access per Second,memory access per second,"416,277.25(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"185,866,362.0"
AP busy Duty,average AP busy duty of total cycles,99.48%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,19.62%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 75279278848.0,
        ""all_memacs"": 90144841728.0,
        ""during"": 185866362.0,
        ""block_num"": 104,
        ""vl1_memacs"": 45587103744.0,
        ""l2c_memacs"": 301979575633.0533
    },
    ""data"": {
        ""all_ops"": 75279278848.0,
        ""all_memacs"": 90144841728.0,
        ""block_num"": 104,
        ""during"": 185866362.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 3.894406776479047,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 7.137542508177087,
        ""case_bandwith"": 545.6229188151862,
        ""case_VL1_I"": 14.113917904055906,
        ""case_L2C_I"": 2.1306495261399085,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720052056/RoofLine20260720052152144.png""
}"
WORKGROUPS,ce send workgroup,"32,928.0"
WAVES,ce send waves,"131,712.0"
Average Wave life cycles,average life cycles per wave from start to end,"1,693,691.64"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 3782994903.874608,
        ""MTE_16CYCLES"": 2334990336.0,
        ""MMA_16CYCLES"": 409929.77614692843,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720052056/Compute_Instructions_Cycles_Rate20260720052152793.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 188586160.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720052056/DPC_Computing_cycles_comparison20260720052152921.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 1182732183.1898735,
        ""vls_pipeline_stall"": 106589.9422024119,
        ""vls_wdata_stall"": 8393460.037383178,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720052056/ISU_stall_cycles_layout20260720052153195.png""
}"
Instructions Comparison,Comparison between all instructions,"{
    ""data"": {
        ""MTE"": 955097310.8895899,
        ""MMA"": 944111615.9999999,
        ""STE"": 345967247.6981132,
        ""GVM"": 178015395.01886794,
        ""BSM"": 531062784.0,
        ""LDU"": 1185408.0,
        ""MISC"": 800150503.5471698
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720052056/Instructions_Comparison20260720052153030.png""
}"
Global Read Instructions,Number of global read instructions in all APs,"177,020,928"
Global Write Instructions,Number of global write instructions in all APs,7
Global Atomic Instructions,Number of global atomic instructions in all APs,0.0
Private Read Instructions,Number of private read instructions in all APs,0
Private Write Instructions,Number of private write instructions in all APs,0
Constant Read Instructions,Number of smem instructions in all APs,"1,185,408"
