Name,Description,Value
Total Instructions,number of all instructions,"2,063,641,796"
Compute Instructions,number of compute instructions,"1,700,172,904"
Memory Instructions,number of memory instructions,"363,468,892"
Total Cycles,cycles use by kernel,"89,029.24(Kcycles)"
Memory Access per Second,memory access per second,"85,988.81(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"88,166,214.0"
AP busy Duty,average AP busy duty of total cycles,99.03%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,20.63%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 37543063552.0,
        ""all_memacs"": 8832864256.0,
        ""during"": 88166214.0,
        ""block_num"": 104,
        ""vl1_memacs"": 24534227232.34657,
        ""l2c_memacs"": 151631845191.16245
    },
    ""data"": {
        ""all_ops"": 37543063552.0,
        ""all_memacs"": 8832864256.0,
        ""block_num"": 104,
        ""during"": 88166214.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 4.094436851879651,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 36.328067064073885,
        ""case_bandwith"": 112.70725867847744,
        ""case_VL1_I"": 13.078907357504672,
        ""case_L2C_I"": 2.1161840024784646,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720052056/RoofLine20260720052155942.png""
}"
WORKGROUPS,ce send workgroup,"57,624.0"
WAVES,ce send waves,"230,496.0"
Average Wave life cycles,average life cycles per wave from start to end,"475,065.95"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 2383143910.3537908,
        ""MTE_16CYCLES"": 303449232.1732852,
        ""MMA_16CYCLES"": 760723.2287641662,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720052056/Compute_Instructions_Cycles_Rate20260720052156517.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 96257328.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720052056/DPC_Computing_cycles_comparison20260720052156644.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 484703755.92779785,
        ""vls_pipeline_stall"": 203973.145340886,
        ""vls_wdata_stall"": 29416947.985559568,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720052056/ISU_stall_cycles_layout20260720052156920.png""
}"
Instructions Comparison,Comparison between all instructions,"{
    ""data"": {
        ""MTE"": 596361801.5306859,
        ""MMA"": 472055808.0,
        ""STE"": 220826277.4918919,
        ""GVM"": 95863036.76534297,
        ""BSM"": 265531392.0,
        ""LDU"": 2074464.0,
        ""MISC"": 410929017.7039711
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720052056/Instructions_Comparison20260720052156753.png""
}"
Global Read Instructions,Number of global read instructions in all APs,"92,179,261"
Global Write Instructions,Number of global write instructions in all APs,92
Global Atomic Instructions,Number of global atomic instructions in all APs,0.0
Private Read Instructions,Number of private read instructions in all APs,0
Private Write Instructions,Number of private write instructions in all APs,0
