Name,Description,Value
Total Instructions,number of all instructions,"22,188,412,601"
Compute Instructions,number of compute instructions,"19,508,237,048"
Memory Instructions,number of memory instructions,"2,680,175,553"
Total Cycles,cycles use by kernel,"9,750,666.07(Kcycles)"
Memory Access per Second,memory access per second,"369,731.17(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"648,308,152.0"
AP busy Duty,average AP busy duty of total cycles,6.65%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,17.01%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 230281691008.0,
        ""all_memacs"": 279270425600.0,
        ""during"": 648308152.0,
        ""block_num"": 104,
        ""vl1_memacs"": 202327809145.79852,
        ""l2c_memacs"": 976138698644.4634
    },
    ""data"": {
        ""all_ops"": 230281691008.0,
        ""all_memacs"": 279270425600.0,
        ""block_num"": 104,
        ""during"": 648308152.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 3.4154237025899326,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 7.047719345993496,
        ""case_bandwith"": 484.6140339756209,
        ""case_VL1_I"": 9.727874727525208,
        ""case_L2C_I"": 2.016331883981415,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720052056/RoofLine20260720052141316.png""
}"
WORKGROUPS,ce send workgroup,"13,294,485.0"
WAVES,ce send waves,"27,307,374.0"
Average Wave life cycles,average life cycles per wave from start to end,"33,284.89"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 33735409549.73951,
        ""MTE_16CYCLES"": 25726294333.890526,
        ""MMA_16CYCLES"": 73447677.93226318,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720052056/Compute_Instructions_Cycles_Rate20260720052142334.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 826334436.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720052056/DPC_Computing_cycles_comparison20260720052142463.png""
}"
