Name,Description,Value
Total Instructions,number of all instructions,"2,936,944,136"
Compute Instructions,number of compute instructions,"2,286,226,873"
Memory Instructions,number of memory instructions,"650,717,263"
Total Cycles,cycles use by kernel,"127,420.65(Kcycles)"
Memory Access per Second,memory access per second,"281,609.76(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"125,435,194.0"
AP busy Duty,average AP busy duty of total cycles,98.44%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,6.03%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 75097340928.0,
        ""all_memacs"": 41155180544.0,
        ""during"": 125435194.0,
        ""block_num"": 104,
        ""vl1_memacs"": 30479104463.698112,
        ""l2c_memacs"": 181269430272.0
    },
    ""data"": {
        ""all_ops"": 75097340928.0,
        ""all_memacs"": 41155180544.0,
        ""block_num"": 104,
        ""during"": 125435194.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 5.756676364811813,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 15.596034479377515,
        ""case_bandwith"": 369.1115438622433,
        ""case_VL1_I"": 21.058939429592165,
        ""case_L2C_I"": 3.540903801628906,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720051739/RoofLine20260720051827097.png""
}"
WORKGROUPS,ce send workgroup,"16,464.0"
WAVES,ce send waves,"65,856.0"
Average Wave life cycles,average life cycles per wave from start to end,"1,580,597.87"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 13188.783628543792,
        ""MTE_16CYCLES"": 11385.065448726706,
        ""MMA_16CYCLES"": 60423143424.0,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720051739/Compute_Instructions_Cycles_Rate20260720051827665.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 176503648.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720051739/DPC_Computing_cycles_comparison20260720051827842.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 1266409223.2452831,
        ""vls_pipeline_stall"": 6960615335.245283,
        ""vls_wdata_stall"": 42.60615416570822,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720051739/ISU_stall_cycles_layout20260720051828109.png""
}"
Instructions Comparison,Comparison between all instructions,"{
    ""data"": {
        ""MTE"": 660712407.493671,
        ""MMA"": 944111616.0,
        ""STE"": 1029.3728642079107,
        ""GVM"": 119061775.49044587,
        ""BSM"": 531062784.0,
        ""LDU"": 592704.0,
        ""MISC"": 681401820.1518987
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720051739/Instructions_Comparison20260720051827951.png""
}"
Global Read Instructions,Number of global read instructions in all APs,"118,013,952"
Global Write Instructions,Number of global write instructions in all APs,"1,046,240"
Global Atomic Instructions,Number of global atomic instructions in all APs,0.0
Private Read Instructions,Number of private read instructions in all APs,0
Private Write Instructions,Number of private write instructions in all APs,0
Constant Read Instructions,Number of smem instructions in all APs,"592,704"
Constant Read SL1 Instructions,Num of LDU instructions in all SL1s,"590,840"
Constant Read L2 Instructions,Num of SL1 data miss requests,"3,624"
Constant SL1 Hit Rate,Total LDU instructions hit rate in all SL1s,99.39%
VL1 Read Instructions,total read instructions in all VL1s,"118,013,952"
