Name,Description,Value
Total Instructions,number of all instructions,"1,843,369,033"
Compute Instructions,number of compute instructions,"1,479,903,469"
Memory Instructions,number of memory instructions,"363,465,564"
Total Cycles,cycles use by kernel,"89,134.74(Kcycles)"
Memory Access per Second,memory access per second,"86,894.22(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"87,998,064.0"
AP busy Duty,average AP busy duty of total cycles,98.72%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,6.71%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 37543400704.0,
        ""all_memacs"": 8908845056.0,
        ""during"": 87998064.0,
        ""block_num"": 104,
        ""vl1_memacs"": 24535718383.36462,
        ""l2c_memacs"": 151631206126.44043
    },
    ""data"": {
        ""all_ops"": 37543400704.0,
        ""all_memacs"": 8908845056.0,
        ""block_num"": 104,
        ""during"": 87998064.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 4.1022974953001405,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 36.018559609446044,
        ""case_bandwith"": 113.89399075870578,
        ""case_VL1_I"": 13.078229937559765,
        ""case_L2C_I"": 2.116211925619585,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720051739/RoofLine20260720051838466.png""
}"
WORKGROUPS,ce send workgroup,"57,624.0"
WAVES,ce send waves,"230,496.0"
Average Wave life cycles,average life cycles per wave from start to end,"475,038.94"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 59984.59551476112,
        ""MTE_16CYCLES"": 7641.70419726522,
        ""MMA_16CYCLES"": 30211571712.0,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720051739/Compute_Instructions_Cycles_Rate20260720051839035.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 96241328.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720051739/DPC_Computing_cycles_comparison20260720051839160.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 485308495.88447654,
        ""vls_pipeline_stall"": 8094290066.729241,
        ""vls_wdata_stall"": 740.0301207228682,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720051739/ISU_stall_cycles_layout20260720051839434.png""
}"
Instructions Comparison,Comparison between all instructions,"{
    ""data"": {
        ""MTE"": 596909749.6028881,
        ""MMA"": 472055807.99999994,
        ""STE"": 5565.345927526056,
        ""GVM"": 95859708.30324909,
        ""BSM"": 265531392.0,
        ""LDU"": 2074464.0,
        ""MISC"": 410932346.166065
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720051739/Instructions_Comparison20260720051839269.png""
}"
Global Read Instructions,Number of global read instructions in all APs,"92,178,429"
Global Write Instructions,Number of global write instructions in all APs,"3,670,461"
Global Atomic Instructions,Number of global atomic instructions in all APs,0.0
Private Read Instructions,Number of private read instructions in all APs,0
Private Write Instructions,Number of private write instructions in all APs,0
Constant Read Instructions,Number of smem instructions in all APs,"2,074,464"
Constant Read SL1 Instructions,Num of LDU instructions in all SL1s,"2,074,464"
Constant Read L2 Instructions,Num of SL1 data miss requests,"3,640"
Constant SL1 Hit Rate,Total LDU instructions hit rate in all SL1s,99.82%
VL1 Read Instructions,total read instructions in all VL1s,"92,180,925"
VL1 Write Instructions,total write instructions in all VL1s,"3,677,118"
VL1 Atomic Instructions,total atomic instructions in all VL1s,0.0
VL1 Hit Rate,hit rate of all instructions in all VL1s,79.73%
L2C Read Instructions,total read instructions in all L2Cs,"1,184,463,712"
L2C Write Instructions,total write instructions in all L2Cs,"58,720,256"
L2C Atomic Instructions,total atomic instructions in all L2Cs,0.0
L2C Hit Rate,hit rate of all instructions in all L2Cs,94.34%
Total Atomic Instructions,"total atomic instructions in memory access, include global atomic and shared memory atomic",0.0
Dnoc Read Req,number of dnoc read requests,"54,909,536.0"
Dnoc Write Req,number of dnoc write requests,"14,697,952.0"
Global Memory Read bytes,bytes read from global memory,"7,028,507,648.0byte"
Global Memory Write bytes,bytes write from global memory,"1,880,337,408.0byte"
Dnoc Read Average Latency,average latency of dnoc read request,215.06
Memory Data Flow Chart,,"{
    ""data"": {
        ""vl1c"": 79.73339982375336,
        ""l2c"": 94.33573527856176,
        ""sl1"": 99.82451302364059,
        ""global_kernel_rd"": 92178429,
        ""global_kernel_wr"": 3670461,
        ""private_kernel_rd"": 0,
        ""private_kernel_wr"": 0,
        ""generic_kernel_rd"": 0,
        ""generic_kernel_wr"": 0,
        ""const_kernel_rd"": 2074464,
        ""shared_kernel_rd"": 236027904,
        ""shared_kernel_wr"": 29503488,
        ""Ggeneric_vl1c_rd"": 92180925,
        ""Ggeneric_vl1c_wr"": 3677118,
        ""const_sl1c_rd"": 2074464,
        ""sl1_l2c_rd"": 3640,
        ""vl1c_l2c_rd"": 1184463712,
        ""vl1c_l2c_wr"": 58720256,
        ""l2c_Gmemory_rd"": null,
        ""l2c_Gmemory_wr"": null
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720051739/Memory_Data_Flow_Chart20260720051839600.png""
}"
Dnoc Read Latency Histogram,histogram of dnoc read latency,"{
    ""data"": {
        ""0-255"": 49259360.0,
        ""256-511"": 5277408.0,
        ""512-1k"": 41408.0,
        ""1k-2k"": 0.0,
        ""2k-"": 1536.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720051739/Dnoc_Read_Latency_Histogram20260720051839993.png""
}"
VL1 partition stall cycles layout,VL1 partition access stall cycles layout,"{
    ""data"": {
        ""pt0"": 37698161.67509025,
        ""pt1"": 38753284.15884476,
        ""pt2"": 39197113.776173286,
        ""pt3"": 43334808.2166065
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720051739/VL1_partition_stall_cycles_layout20260720051840125.png""
}"
load instructions,number of total workgroup memory load instructions,"236,027,904.0"
store instructions,number of total workgroup memory write instructions,"29,503,488.0"
atomic instructions,number of total workgroup memory atomic instructions,0.0
total instructions,number of total workgroup memory instructions,"265,531,392.0"
average latency per load instruction,average latency per WG-load from issue to mem-ops done,84.80
average latency per store instruction,average latency per WG-store from issue to memops done,0.00
average latency per atomic instruction,average latency per WG-atom from issue to memops done,0
average latency of all stages per instruction,average latency of all WG-inst from issue to memops done,92.79
average cycles per load instruction,average cycles per WG-load when issuing (with bank conflict),8.0
average cycles per store instruction,average cycles per WG-store when issuing (with bank conflict),8.0
average cycles per atomic instruction,average cycles per WG-atom when issuing (with bank conflict),0
average conflict cycles per instruction,average conflict cycles per WG-inst when bank conflict happens,3.56
average cycles per instruction,average cycles per WG-inst when issuing (with bank conflict),8.0
shared memory access efficiency,Proportion of NON-CONFLICT access,55.56%
Achieved waves,number of achieved waves,"230,496.0"
Dispatched waves,number of dispatched waves,"230,496.0"
AP active cycles,number of wave instruction cycles executed on the AP,"9,153,069,386.17"
AP MTE Duty ratio,MTE Duty ratio relative to AP active,0.05%
AP STE Duty ratio,STE Duty ratio relative to AP active,0.00%
AP MMA Duty ratio,MMA Duty ratio relative to AP active,0.00%
VLS Duty ratio,VLS Duty ratio relative to AP active,0.0%
L2C Duty ratio,L2C Duty ratio relative to L2C active,43.58%
instruction per cycle,The number of instructions per busy cycle across all sub-unit instances,20.95
instruction throughput,The percent of achieved instructions and theoretical instructions during all busy cycles ,0.20
instruction throughput efficiency,The percentage of the maximum instruction throughput achieved during all busy cycles ,5.04%
instruction number,The total number of instructions,"1,843,369,033.42"
instructions per AP,The number of instructions per PEU,"17,724,702.24"
