Name,Description,Value
Total Instructions,number of all instructions,"16,674,774,724"
Compute Instructions,number of compute instructions,"14,126,887,524"
Memory Instructions,number of memory instructions,"2,547,887,200"
Total Cycles,cycles use by kernel,"9,488,884.25(Kcycles)"
Memory Access per Second,memory access per second,"273,199.36(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"523,896,518.0"
AP busy Duty,average AP busy duty of total cycles,5.52%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,17.36%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 228990092416.0,
        ""all_memacs"": 166756430848.0,
        ""during"": 523896518.0,
        ""block_num"": 104,
        ""vl1_memacs"": 170698506525.42978,
        ""l2c_memacs"": 727528265145.5844
    },
    ""data"": {
        ""all_ops"": 228990092416.0,
        ""all_memacs"": 166756430848.0,
        ""block_num"": 104,
        ""during"": 523896518.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 4.202791459843808,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 11.736760418216294,
        ""case_bandwith"": 358.0878632676845,
        ""case_VL1_I"": 11.46571412309491,
        ""case_L2C_I"": 2.6901776478308803,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720051739/RoofLine20260720051823978.png""
}"
WORKGROUPS,ce send workgroup,"13,261,557.0"
WAVES,ce send waves,"27,175,662.0"
Average Wave life cycles,average life cycles per wave from start to end,"24,550.86"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 15613011.08667422,
        ""MTE_16CYCLES"": 12703350.633780243,
        ""MMA_16CYCLES"": 182087892818.52353,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720051739/Compute_Instructions_Cycles_Rate20260720051824911.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 802127096.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720051739/DPC_Computing_cycles_comparison20260720051825040.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 3683564041.023478,
        ""vls_pipeline_stall"": 31709696621.343014,
        ""vls_wdata_stall"": 518850.11141244904,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720051739/ISU_stall_cycles_layout20260720051825322.png""
}"
Instructions Comparison,Comparison between all instructions,"{
    ""data"": {
        ""MTE"": 7923769792.523519,
        ""MMA"": 2849984535.2511096,
        ""STE"": 2092209.7517445914,
        ""GVM"": 726120658.8929613,
        ""BSM"": 1616972176.2967129,
        ""LDU"": 204794365.17111367,
        ""MISC"": 3351040987.2938213
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720051739/Instructions_Comparison20260720051825147.png""
}"
Global Read Instructions,Number of global read instructions in all APs,"549,846,868"
