Name,Description,Value
Total Instructions,number of all instructions,"292,457,909"
Compute Instructions,number of compute instructions,"246,403,485"
Memory Instructions,number of memory instructions,"46,054,424"
Total Cycles,cycles use by kernel,"12,647.93(Kcycles)"
Memory Access per Second,memory access per second,"90,009.40(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"11,785,702.0"
AP busy Duty,average AP busy duty of total cycles,93.18%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,27.65%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 4722896640.0,
        ""all_memacs"": 1235949568.0,
        ""during"": 11785702.0,
        ""block_num"": 104,
        ""vl1_memacs"": 3301179392.0,
        ""l2c_memacs"": 19003780823.188404
    },
    ""data"": {
        ""all_ops"": 4722896640.0,
        ""all_memacs"": 1235949568.0,
        ""block_num"": 104,
        ""during"": 11785702.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 3.853183093574544,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 32.660424821409826,
        ""case_bandwith"": 117.97712720039927,
        ""case_VL1_I"": 12.22794436635025,
        ""case_L2C_I"": 2.124137208500247,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720051921/RoofLine20260720052021666.png""
}"
WORKGROUPS,ce send workgroup,"14,392.0"
WAVES,ce send waves,"57,568.0"
Average Wave life cycles,average life cycles per wave from start to end,"252,318.76"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 18280.538496003628,
        ""MTE_16CYCLES"": 80048511.07913668,
        ""MMA_16CYCLES"": 179224.32341694259,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720051921/Compute_Instructions_Cycles_Rate20260720052022253.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 12970608.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720051921/DPC_Computing_cycles_comparison20260720052022379.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 60102338.01438849,
        ""vls_pipeline_stall"": 48143.77930176524,
        ""vls_wdata_stall"": 7368703.999999999,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720051921/ISU_stall_cycles_layout20260720052022651.png""
}"
Instructions Comparison,Comparison between all instructions,"{
    ""data"": {
        ""MTE"": 96803512.11594202,
        ""MMA"": 58949632.0,
        ""STE"": 36843520.0,
        ""GVM"": 12895232.0,
        ""BSM"": 33159168.0,
        ""LDU"": 24.612715312995658,
        ""MISC"": 53806821.640287764
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720051921/Instructions_Comparison20260720052022488.png""
}"
Global Read Instructions,Number of global read instructions in all APs,564
Global Write Instructions,Number of global write instructions in all APs,"913,633"
Global Atomic Instructions,Number of global atomic instructions in all APs,0.0
Private Read Instructions,Number of private read instructions in all APs,0
Private Write Instructions,Number of private write instructions in all APs,0
Constant Read Instructions,Number of smem instructions in all APs,24
Constant Read SL1 Instructions,Num of LDU instructions in all SL1s,"519,989"
Constant Read L2 Instructions,Num of SL1 data miss requests,"1,929"
Constant SL1 Hit Rate,Total LDU instructions hit rate in all SL1s,99.63%
VL1 Read Instructions,total read instructions in all VL1s,"11,974,144"
VL1 Write Instructions,total write instructions in all VL1s,"921,087"
VL1 Atomic Instructions,total atomic instructions in all VL1s,0.0
VL1 Hit Rate,hit rate of all instructions in all VL1s,80.10%
L2C Read Instructions,total read instructions in all L2Cs,"148,298,752"
L2C Write Instructions,total write instructions in all L2Cs,"14,680,064"
L2C Atomic Instructions,total atomic instructions in all L2Cs,0.0
L2C Hit Rate,hit rate of all instructions in all L2Cs,93.93%
Total Atomic Instructions,"total atomic instructions in memory access, include global atomic and shared memory atomic",0.0
Dnoc Read Req,number of dnoc read requests,"5,964,032.0"
Dnoc Write Req,number of dnoc write requests,"3,675,552.0"
Global Memory Read bytes,bytes read from global memory,"765,800,448.0byte"
Global Memory Write bytes,bytes write from global memory,"470,149,120.0byte"
Dnoc Read Average Latency,average latency of dnoc read request,222.14
Memory Data Flow Chart,,"{
    ""data"": {
        ""vl1c"": 80.09945571299171,
        ""l2c"": 93.92907942171914,
        ""sl1"": 99.62896109105496,
        ""global_kernel_rd"": 564,
        ""global_kernel_wr"": 913633,
        ""private_kernel_rd"": 0,
        ""private_kernel_wr"": 0,
        ""generic_kernel_rd"": 0,
        ""generic_kernel_wr"": 0,
        ""const_kernel_rd"": 24,
        ""shared_kernel_rd"": 29474815,
        ""shared_kernel_wr"": 3684352,
        ""Ggeneric_vl1c_rd"": 11974144,
        ""Ggeneric_vl1c_wr"": 921087,
        ""const_sl1c_rd"": 519989,
        ""sl1_l2c_rd"": 1929,
        ""vl1c_l2c_rd"": 148298752,
        ""vl1c_l2c_wr"": 14680064,
        ""l2c_Gmemory_rd"": null,
        ""l2c_Gmemory_wr"": null
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720051921/Memory_Data_Flow_Chart20260720052022817.png""
}"
Dnoc Read Latency Histogram,histogram of dnoc read latency,"{
    ""data"": {
        ""0-255"": 5332416.0,
        ""256-511"": 728544.0,
        ""512-1k"": 5792.0,
        ""1k-2k"": 0.0,
        ""2k-"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720051921/Dnoc_Read_Latency_Histogram20260720052023178.png""
}"
VL1 partition stall cycles layout,VL1 partition access stall cycles layout,"{
    ""data"": {
        ""pt0"": 2510316.834532374,
        ""pt1"": 1821213.7391304346,
        ""pt2"": 3400446.503597122,
        ""pt3"": 3446210.992805755
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720051921/VL1_partition_stall_cycles_layout20260720052023303.png""
}"
load instructions,number of total workgroup memory load instructions,"29,474,816.00"
store instructions,number of total workgroup memory write instructions,"3,684,352.0"
atomic instructions,number of total workgroup memory atomic instructions,0.0
total instructions,number of total workgroup memory instructions,"33,159,168.0"
average latency per load instruction,average latency per WG-load from issue to mem-ops done,0.00
average latency per store instruction,average latency per WG-store from issue to memops done,0.00
average latency per atomic instruction,average latency per WG-atom from issue to memops done,0
average latency of all stages per instruction,average latency of all WG-inst from issue to memops done,94.37
average cycles per load instruction,average cycles per WG-load when issuing (with bank conflict),8.0
average cycles per store instruction,average cycles per WG-store when issuing (with bank conflict),8.00
average cycles per atomic instruction,average cycles per WG-atom when issuing (with bank conflict),0
average conflict cycles per instruction,average conflict cycles per WG-inst when bank conflict happens,3.56
average cycles per instruction,average cycles per WG-inst when issuing (with bank conflict),8.00
shared memory access efficiency,Proportion of NON-CONFLICT access,55.56%
Achieved waves,number of achieved waves,"57,568.00"
Dispatched waves,number of dispatched waves,"57,568.0"
AP active cycles,number of wave instruction cycles executed on the AP,"1,220,286,497.73"
AP MTE Duty ratio,MTE Duty ratio relative to AP active,0.10%
AP STE Duty ratio,STE Duty ratio relative to AP active,3.02%
AP MMA Duty ratio,MMA Duty ratio relative to AP active,19.32%
VLS Duty ratio,VLS Duty ratio relative to AP active,0.0%
L2C Duty ratio,L2C Duty ratio relative to L2C active,40.27%
instruction per cycle,The number of instructions per busy cycle across all sub-unit instances,24.81
instruction throughput,The percent of achieved instructions and theoretical instructions during all busy cycles ,0.24
instruction throughput efficiency,The percentage of the maximum instruction throughput achieved during all busy cycles ,5.97%
instruction number,The total number of instructions,"292,457,910.37"
instructions per AP,The number of instructions per PEU,"2,812,095.29"
