Name,Description,Value
Total Instructions,number of all instructions,"2,194,503,083"
Compute Instructions,number of compute instructions,"1,542,871,005"
Memory Instructions,number of memory instructions,"651,632,078"
Total Cycles,cycles use by kernel,"137,097.97(Kcycles)"
Memory Access per Second,memory access per second,"416,469.76(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"135,341,978.0"
AP busy Duty,average AP busy duty of total cycles,98.72%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,27.12%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 75073055488.0,
        ""all_memacs"": 65670965248.0,
        ""during"": 135341978.0,
        ""block_num"": 104,
        ""vl1_memacs"": 30566063308.8,
        ""l2c_memacs"": 181045126188.52173
    },
    ""data"": {
        ""all_ops"": 75073055488.0,
        ""all_memacs"": 65670965248.0,
        ""block_num"": 104,
        ""during"": 135341978.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 5.333572875440248,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 9.770680916335767,
        ""case_bandwith"": 545.8752487273387,
        ""case_VL1_I"": 20.992237057928595,
        ""case_L2C_I"": 3.544144271731649,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720004536/RoofLine20260720004639141.png""
}"
WORKGROUPS,ce send workgroup,"16,512.0"
WAVES,ce send waves,"66,048.0"
Average Wave life cycles,average life cycles per wave from start to end,"1,701,135.17"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 2408799637.735849,
        ""MTE_16CYCLES"": 2257308958.21118,
        ""MMA_16CYCLES"": 60599304192.0,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720004536/Compute_Instructions_Cycles_Rate20260720004639797.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 174563376.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720004536/DPC_Computing_cycles_comparison20260720004639926.png""
}"
