Name,Description,Value
Total Instructions,number of all instructions,"1,389,639,127"
Compute Instructions,number of compute instructions,"1,291,570,698"
Memory Instructions,number of memory instructions,"98,068,429"
Total Cycles,cycles use by kernel,"90,181.97(Kcycles)"
Memory Access per Second,memory access per second,"181,135.97(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"89,157,132.0"
AP busy Duty,average AP busy duty of total cycles,98.86%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,6.65%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 37745511680.0,
        ""all_memacs"": 18815605760.0,
        ""during"": 89157132.0,
        ""block_num"": 104,
        ""vl1_memacs"": 24537507895.152603,
        ""l2c_memacs"": 151812782006.33093
    },
    ""data"": {
        ""all_ops"": 37745511680.0,
        ""all_memacs"": 18815605760.0,
        ""block_num"": 104,
        ""during"": 89157132.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 4.070763652510629,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 17.14593806094771,
        ""case_bandwith"": 237.41854414967048,
        ""case_VL1_I"": 13.147676296984622,
        ""case_L2C_I"": 2.1250596074757215,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720002257/RoofLine20260720002403347.png""
}"
WORKGROUPS,ce send workgroup,"57,792.0"
WAVES,ce send waves,"231,168.0"
Average Wave life cycles,average life cycles per wave from start to end,"480,123.71"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 59264.359847777734,
        ""MTE_16CYCLES"": 304410005.1798561,
        ""MMA_16CYCLES"": 30299652096.0,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720002257/Compute_Instructions_Cycles_Rate20260720002403918.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 96319648.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720002257/DPC_Computing_cycles_comparison20260720002404044.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 464279619.79856116,
        ""vls_pipeline_stall"": 8114143718.262119,
        ""vls_wdata_stall"": 29456457.66906475,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720002257/ISU_stall_cycles_layout20260720002404321.png""
}"
