Name,Description,Value
Total Instructions,number of all instructions,"159,945,474"
Compute Instructions,number of compute instructions,"113,191,746"
Memory Instructions,number of memory instructions,"46,753,728"
Total Cycles,cycles use by kernel,"12,691.13(Kcycles)"
Memory Access per Second,memory access per second,"89,279.53(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"11,719,462.0"
AP busy Duty,average AP busy duty of total cycles,92.34%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,19.43%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 4756529152.0,
        ""all_memacs"": 1219037184.0,
        ""during"": 11719462.0,
        ""block_num"": 104,
        ""vl1_memacs"": 3296302676.7194242,
        ""l2c_memacs"": 18968351539.2
    },
    ""data"": {
        ""all_ops"": 4756529152.0,
        ""all_memacs"": 1219037184.0,
        ""block_num"": 104,
        ""during"": 11719462.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 3.9025560414607106,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 33.34934803452174,
        ""case_bandwith"": 117.02045981291633,
        ""case_VL1_I"": 12.333240998578276,
        ""case_L2C_I"": 2.143259272279067,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015308/RoofLine20260720015406098.png""
}"
WORKGROUPS,ce send workgroup,"14,448.0"
WAVES,ce send waves,"57,792.0"
Average Wave life cycles,average life cycles per wave from start to end,"251,624.46"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 18277.978768612287,
        ""MTE_16CYCLES"": 80299052.52173913,
        ""MMA_16CYCLES"": 3787456512.0,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015308/Compute_Instructions_Cycles_Rate20260720015406668.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 13006704.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015308/DPC_Computing_cycles_comparison20260720015406794.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 63037461.56521739,
        ""vls_pipeline_stall"": 1013473981.4676259,
        ""vls_wdata_stall"": 7344537.600000001,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015308/ISU_stall_cycles_layout20260720015407066.png""
}"
Instructions Comparison,Comparison between all instructions,"{
    ""data"": {
        ""MTE"": 4584.467229029501,
        ""MMA"": 59179008.0,
        ""STE"": 1737.605055628817,
        ""GVM"": 12945408.0,
        ""BSM"": 33288192.0,
        ""LDU"": 520128.0,
        ""MISC"": 54006416.11510792
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015308/Instructions_Comparison20260720015406903.png""
}"
Global Read Instructions,Number of global read instructions in all APs,"11,961,292"
Global Write Instructions,Number of global write instructions in all APs,"913,861"
Global Atomic Instructions,Number of global atomic instructions in all APs,0.0
Private Read Instructions,Number of private read instructions in all APs,0
Private Write Instructions,Number of private write instructions in all APs,0
Constant Read Instructions,Number of smem instructions in all APs,"520,128"
Constant Read SL1 Instructions,Num of LDU instructions in all SL1s,"520,128"
Constant Read L2 Instructions,Num of SL1 data miss requests,"1,960"
Constant SL1 Hit Rate,Total LDU instructions hit rate in all SL1s,99.62%
VL1 Read Instructions,total read instructions in all VL1s,"11,960,865"
VL1 Write Instructions,total write instructions in all VL1s,"918,067"
VL1 Atomic Instructions,total atomic instructions in all VL1s,0.0
VL1 Hit Rate,hit rate of all instructions in all VL1s,80.09%
L2C Read Instructions,total read instructions in all L2Cs,"148,415,232"
L2C Write Instructions,total write instructions in all L2Cs,"14,680,128"
L2C Atomic Instructions,total atomic instructions in all L2Cs,0.0
L2C Hit Rate,hit rate of all instructions in all L2Cs,94.02%
Total Atomic Instructions,"total atomic instructions in memory access, include global atomic and shared memory atomic",0.0
Dnoc Read Req,number of dnoc read requests,"5,850,176.0"
