Name,Description,Value
Total Instructions,number of all instructions,"1,307,504,447"
Compute Instructions,number of compute instructions,"926,919,521"
Memory Instructions,number of memory instructions,"380,584,926"
Total Cycles,cycles use by kernel,"8,875,848.54(Kcycles)"
Memory Access per Second,memory access per second,"339,603.09(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"80,440,421.0"
AP busy Duty,average AP busy duty of total cycles,0.91%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,17.40%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 29666284032.0,
        ""all_memacs"": 31827561472.0,
        ""during"": 80440421.0,
        ""block_num"": 104,
        ""vl1_memacs"": 29481983024.719353,
        ""l2c_memacs"": 98990685927.12868
    },
    ""data"": {
        ""all_ops"": 29666284032.0,
        ""all_memacs"": 31827561472.0,
        ""block_num"": 104,
        ""during"": 80440421.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 3.546136724929909,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 7.9666167137106125,
        ""case_bandwith"": 445.12455567580884,
        ""case_VL1_I"": 8.600438544683033,
        ""case_L2C_I"": 2.561432732834503,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015308/RoofLine20260720015351647.png""
}"
WORKGROUPS,ce send workgroup,"3,029,134.0"
WAVES,ce send waves,"6,454,518.0"
Average Wave life cycles,average life cycles per wave from start to end,"17,741.43"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 5398422.268246698,
        ""MTE_16CYCLES"": 6510320117.401274,
        ""MMA_16CYCLES"": 23249554513.64369,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015308/Compute_Instructions_Cycles_Rate20260720015352608.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 138165680.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015308/DPC_Computing_cycles_comparison20260720015352739.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 465788487.1284501,
        ""vls_pipeline_stall"": 4293609704.2064333,
        ""vls_wdata_stall"": 264329237.31464502,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015308/ISU_stall_cycles_layout20260720015353011.png""
}"
Instructions Comparison,Comparison between all instructions,"{
    ""data"": {
        ""MTE"": 1366803.025431478,
        ""MMA"": 362731126.28618056,
        ""STE"": 718975.9005429236,
        ""GVM"": 131147468.3981327,
        ""BSM"": 206443051.2189135,
        ""LDU"": 42994406.91063501,
        ""MISC"": 562102615.8123243
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015308/Instructions_Comparison20260720015352848.png""
}"
Global Read Instructions,Number of global read instructions in all APs,"88,457,371"
Global Write Instructions,Number of global write instructions in all APs,"14,319,678"
Global Atomic Instructions,Number of global atomic instructions in all APs,"29,345,077.58"
Private Read Instructions,Number of private read instructions in all APs,"165,670"
Private Write Instructions,Number of private write instructions in all APs,"166,275"
Constant Read Instructions,Number of smem instructions in all APs,"42,994,406"
Constant Read SL1 Instructions,Num of LDU instructions in all SL1s,"42,961,920"
Constant Read L2 Instructions,Num of SL1 data miss requests,"429,258"
Constant SL1 Hit Rate,Total LDU instructions hit rate in all SL1s,99.18%
VL1 Read Instructions,total read instructions in all VL1s,"86,828,165"
VL1 Write Instructions,total write instructions in all VL1s,"14,703,007"
VL1 Atomic Instructions,total atomic instructions in all VL1s,"29,510,188.56"
VL1 Hit Rate,hit rate of all instructions in all VL1s,86.43%
L2C Read Instructions,total read instructions in all L2Cs,"782,120,288"
L2C Write Instructions,total write instructions in all L2Cs,"171,297,056"
L2C Atomic Instructions,total atomic instructions in all L2Cs,"58,727,936.0"
L2C Hit Rate,hit rate of all instructions in all L2Cs,74.01%
Total Atomic Instructions,"total atomic instructions in memory access, include global atomic and shared memory atomic","1,115,012.41"
Dnoc Read Req,number of dnoc read requests,"172,526,240.0"
Dnoc Write Req,number of dnoc write requests,"83,411,168.0"
Global Memory Read bytes,bytes read from global memory,"21,152,099,328.0byte"
Global Memory Write bytes,bytes write from global memory,"10,675,462,144.0byte"
Dnoc Read Average Latency,average latency of dnoc read request,286.14
Memory Data Flow Chart,,"{
    ""data"": {
        ""vl1c"": 86.43492318765011,
        ""l2c"": 74.0101510700968,
        ""sl1"": 99.17733795150916,
        ""global_kernel_rd"": 88457371,
        ""global_kernel_wr"": 14319678,
        ""private_kernel_rd"": 165670,
        ""private_kernel_wr"": 166275,
        ""generic_kernel_rd"": 0,
        ""generic_kernel_wr"": 0,
        ""const_kernel_rd"": 42994406,
        ""shared_kernel_rd"": 180016140,
        ""shared_kernel_wr"": 25165871,
        ""Ggeneric_vl1c_rd"": 86828165,
        ""Ggeneric_vl1c_wr"": 14703007,
        ""const_sl1c_rd"": 42961920,
        ""sl1_l2c_rd"": 429258,
        ""vl1c_l2c_rd"": 782120288,
        ""vl1c_l2c_wr"": 171297056,
        ""l2c_Gmemory_rd"": null,
        ""l2c_Gmemory_wr"": null
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015308/Memory_Data_Flow_Chart20260720015353179.png""
}"
Dnoc Read Latency Histogram,histogram of dnoc read latency,"{
    ""data"": {
        ""0-255"": 106608992.0,
        ""256-511"": 55292544.0,
        ""512-1k"": 11365088.0,
        ""1k-2k"": 262688.0,
        ""2k-"": 4896.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015308/Dnoc_Read_Latency_Histogram20260720015353460.png""
}"
VL1 partition stall cycles layout,VL1 partition access stall cycles layout,"{
    ""data"": {
        ""pt0"": 166856442.47811824,
        ""pt1"": 122354936.8821581,
        ""pt2"": 103384135.76722822,
        ""pt3"": 88233272.46246004
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015308/VL1_partition_stall_cycles_layout20260720015353600.png""
}"
load instructions,number of total workgroup memory load instructions,"180,016,140.37"
store instructions,number of total workgroup memory write instructions,"25,165,871.14"
atomic instructions,number of total workgroup memory atomic instructions,"1,092,148.36"
total instructions,number of total workgroup memory instructions,"206,443,051.22"
average latency per load instruction,average latency per WG-load from issue to mem-ops done,91.38
average latency per store instruction,average latency per WG-store from issue to memops done,55.03
average latency per atomic instruction,average latency per WG-atom from issue to memops done,45.77
average latency of all stages per instruction,average latency of all WG-inst from issue to memops done,87.82
average cycles per load instruction,average cycles per WG-load when issuing (with bank conflict),7.95
average cycles per store instruction,average cycles per WG-store when issuing (with bank conflict),0.01
average cycles per atomic instruction,average cycles per WG-atom when issuing (with bank conflict),7.33
average conflict cycles per instruction,average conflict cycles per WG-inst when bank conflict happens,3.48
average cycles per instruction,average cycles per WG-inst when issuing (with bank conflict),6.97
shared memory access efficiency,Proportion of NON-CONFLICT access,50.11%
Achieved waves,number of achieved waves,"6,454,518.0"
Dispatched waves,number of dispatched waves,"6,454,576.0"
AP active cycles,number of wave instruction cycles executed on the AP,"8,359,563,755.21"
AP MTE Duty ratio,MTE Duty ratio relative to AP active,1.23%
AP STE Duty ratio,STE Duty ratio relative to AP active,0.01%
