Name,Description,Value
Total Instructions,number of all instructions,"1,843,160,702"
Compute Instructions,number of compute instructions,"1,479,690,107"
Memory Instructions,number of memory instructions,"363,470,595"
Total Cycles,cycles use by kernel,"89,059.67(Kcycles)"
Memory Access per Second,memory access per second,"86,237.56(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"88,004,788.0"
AP busy Duty,average AP busy duty of total cycles,98.82%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,27.34%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 37543269376.0,
        ""all_memacs"": 8842196992.0,
        ""during"": 88004788.0,
        ""block_num"": 104,
        ""vl1_memacs"": 24540868419.805405,
        ""l2c_memacs"": 151630141018.5704
    },
    ""data"": {
        ""all_ops"": 37543269376.0,
        ""all_memacs"": 8842196992.0,
        ""block_num"": 104,
        ""during"": 88004788.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 4.101969710662001,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 36.28992257576206,
        ""case_bandwith"": 113.03330014271496,
        ""case_VL1_I"": 13.075439660495137,
        ""case_L2C_I"": 2.1162193880701934,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720033903/RoofLine20260720033957215.png""
}"
WORKGROUPS,ce send workgroup,"57,624.0"
WAVES,ce send waves,"230,496.0"
Average Wave life cycles,average life cycles per wave from start to end,"475,086.64"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 2383541661.574007,
        ""MTE_16CYCLES"": 303449232.1732852,
        ""MMA_16CYCLES"": 760722.5199641355,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720033903/Compute_Instructions_Cycles_Rate20260720033957867.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 96258720.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720033903/DPC_Computing_cycles_comparison20260720033957995.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 480865519.06137186,
        ""vls_pipeline_stall"": 8103027695.783394,
        ""vls_wdata_stall"": 739.5586131671799,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720033903/ISU_stall_cycles_layout20260720033958270.png""
}"
Instructions Comparison,Comparison between all instructions,"{
    ""data"": {
        ""MTE"": 596696311.9711192,
        ""MMA"": 472055808.0,
        ""STE"": 5565.504857610599,
        ""GVM"": 95864739.97837837,
        ""BSM"": 265531392.0,
        ""LDU"": 2074464.0,
        ""MISC"": 410932421.88108104
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720033903/Instructions_Comparison20260720033958105.png""
}"
Global Read Instructions,Number of global read instructions in all APs,"92,170,108"
Global Write Instructions,Number of global write instructions in all APs,"3,677,137"
Global Atomic Instructions,Number of global atomic instructions in all APs,0.0
Private Read Instructions,Number of private read instructions in all APs,0
Private Write Instructions,Number of private write instructions in all APs,0
Constant Read Instructions,Number of smem instructions in all APs,"2,074,464"
Constant Read SL1 Instructions,Num of LDU instructions in all SL1s,"2,076,336"
Constant Read L2 Instructions,Num of SL1 data miss requests,"3,640"
Constant SL1 Hit Rate,Total LDU instructions hit rate in all SL1s,99.82%
VL1 Read Instructions,total read instructions in all VL1s,"92,170,108"
VL1 Write Instructions,total write instructions in all VL1s,"3,677,137"
VL1 Atomic Instructions,total atomic instructions in all VL1s,0.0
VL1 Hit Rate,hit rate of all instructions in all VL1s,79.73%
L2C Read Instructions,total read instructions in all L2Cs,"1,184,461,824"
L2C Write Instructions,total write instructions in all L2Cs,"58,720,256"
L2C Atomic Instructions,total atomic instructions in all L2Cs,0.0
L2C Hit Rate,hit rate of all instructions in all L2Cs,94.38%
Total Atomic Instructions,"total atomic instructions in memory access, include global atomic and shared memory atomic",0.0
Dnoc Read Req,number of dnoc read requests,"54,446,432.0"
Dnoc Write Req,number of dnoc write requests,"14,698,336.0"
Global Memory Read bytes,bytes read from global memory,"6,961,618,944.0byte"
Global Memory Write bytes,bytes write from global memory,"1,880,578,048.0byte"
Dnoc Read Average Latency,average latency of dnoc read request,230.15
Memory Data Flow Chart,,"{
    ""data"": {
        ""vl1c"": 79.73278796655016,
        ""l2c"": 94.37667060041524,
        ""sl1"": 99.82473710565849,
        ""global_kernel_rd"": 92170108,
        ""global_kernel_wr"": 3677137,
        ""private_kernel_rd"": 0,
        ""private_kernel_wr"": 0,
        ""generic_kernel_rd"": 0,
        ""generic_kernel_wr"": 0,
        ""const_kernel_rd"": 2074464,
        ""shared_kernel_rd"": 236027904,
        ""shared_kernel_wr"": 742,
        ""Ggeneric_vl1c_rd"": 92170108,
        ""Ggeneric_vl1c_wr"": 3677137,
        ""const_sl1c_rd"": 2076336,
        ""sl1_l2c_rd"": 3640,
        ""vl1c_l2c_rd"": 1184461824,
        ""vl1c_l2c_wr"": 58720256,
        ""l2c_Gmemory_rd"": null,
        ""l2c_Gmemory_wr"": null
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720033903/Memory_Data_Flow_Chart20260720033958436.png""
}"
Dnoc Read Latency Histogram,histogram of dnoc read latency,"{
    ""data"": {
        ""0-255"": 48870656.0,
        ""256-511"": 6021184.0,
        ""512-1k"": 46688.0,
        ""1k-2k"": 0.0,
        ""2k-"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720033903/Dnoc_Read_Latency_Histogram20260720033958704.png""
}"
VL1 partition stall cycles layout,VL1 partition access stall cycles layout,"{
    ""data"": {
        ""pt0"": 32615391.654054053,
        ""pt1"": 39860829.920577615,
        ""pt2"": 39031002.714801446,
        ""pt3"": 39224781.61732852
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720033903/VL1_partition_stall_cycles_layout20260720033958830.png""
}"
load instructions,number of total workgroup memory load instructions,"236,027,904.0"
store instructions,number of total workgroup memory write instructions,742.91
atomic instructions,number of total workgroup memory atomic instructions,0.0
total instructions,number of total workgroup memory instructions,"265,531,392.0"
average latency per load instruction,average latency per WG-load from issue to mem-ops done,84.77
average latency per store instruction,average latency per WG-store from issue to memops done,"2,183,155.99"
average latency per atomic instruction,average latency per WG-atom from issue to memops done,0
average latency of all stages per instruction,average latency of all WG-inst from issue to memops done,93.07
average cycles per load instruction,average cycles per WG-load when issuing (with bank conflict),8.0
average cycles per store instruction,average cycles per WG-store when issuing (with bank conflict),"317,706.08"
average cycles per atomic instruction,average cycles per WG-atom when issuing (with bank conflict),0
average conflict cycles per instruction,average conflict cycles per WG-inst when bank conflict happens,3.56
average cycles per instruction,average cycles per WG-inst when issuing (with bank conflict),8.0
shared memory access efficiency,Proportion of NON-CONFLICT access,55.56%
Achieved waves,number of achieved waves,"230,496.00"
Dispatched waves,number of dispatched waves,"230,496.0"
AP active cycles,number of wave instruction cycles executed on the AP,"9,153,768,779.26"
AP MTE Duty ratio,MTE Duty ratio relative to AP active,6.56%
AP STE Duty ratio,STE Duty ratio relative to AP active,0.00%
AP MMA Duty ratio,MMA Duty ratio relative to AP active,20.63%
VLS Duty ratio,VLS Duty ratio relative to AP active,0.0%
L2C Duty ratio,L2C Duty ratio relative to L2C active,43.62%
instruction per cycle,The number of instructions per busy cycle across all sub-unit instances,20.94
instruction throughput,The percent of achieved instructions and theoretical instructions during all busy cycles ,0.20
instruction throughput efficiency,The percentage of the maximum instruction throughput achieved during all busy cycles ,5.03%
instruction number,The total number of instructions,"1,843,160,703.34"
instructions per AP,The number of instructions per PEU,"17,722,699.07"
