Name,Description,Value
Total Instructions,number of all instructions,"16,632,759,279"
Compute Instructions,number of compute instructions,"14,073,124,752"
Memory Instructions,number of memory instructions,"2,559,634,527"
Total Cycles,cycles use by kernel,"10,198,616.70(Kcycles)"
Memory Access per Second,memory access per second,"358,663.91(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"530,782,443.0"
AP busy Duty,average AP busy duty of total cycles,5.20%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,37.58%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 229002885888.0,
        ""all_memacs"": 221800045568.0,
        ""during"": 530782443.0,
        ""block_num"": 104,
        ""vl1_memacs"": 172749156046.55923,
        ""l2c_memacs"": 735049191625.2544
    },
    ""data"": {
        ""all_ops"": 229002885888.0,
        ""all_memacs"": 221800045568.0,
        ""block_num"": 104,
        ""during"": 530782443.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 4.148499738236733,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 8.824568173383392,
        ""case_bandwith"": 470.1079595882564,
        ""case_VL1_I"": 11.33024130344713,
        ""case_L2C_I"": 2.6628008645878922,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720033903/RoofLine20260720033950217.png""
}"
WORKGROUPS,ce send workgroup,"13,261,557.0"
WAVES,ce send waves,"27,175,662.0"
Average Wave life cycles,average life cycles per wave from start to end,"24,748.65"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 31113656814.105,
        ""MTE_16CYCLES"": 25570525555.241245,
        ""MMA_16CYCLES"": 89865943.14019907,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720033903/Compute_Instructions_Cycles_Rate20260720033951220.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 801044268.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720033903/DPC_Computing_cycles_comparison20260720033951349.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 3414588675.1878014,
        ""vls_pipeline_stall"": 32844228313.908283,
        ""vls_wdata_stall"": 510772.6115945895,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720033903/ISU_stall_cycles_layout20260720033951633.png""
}"
Instructions Comparison,Comparison between all instructions,"{
    ""data"": {
        ""MTE"": 7866649674.845135,
        ""MMA"": 2843525233.523511,
        ""STE"": 2073283.7167020545,
        ""GVM"": 735000409.5521402,
        ""BSM"": 1620206213.4953346,
        ""LDU"": 204427904.1533002,
        ""MISC"": 3360876560.2861266
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720033903/Instructions_Comparison20260720033951458.png""
}"
Global Read Instructions,Number of global read instructions in all APs,"553,002,357"
Global Write Instructions,Number of global write instructions in all APs,"60,365,236"
Global Atomic Instructions,Number of global atomic instructions in all APs,"117,485,204.09"
Private Read Instructions,Number of private read instructions in all APs,"661,628"
