Name,Description,Value
Total Instructions,number of all instructions,"3,583,620,439"
Compute Instructions,number of compute instructions,"3,245,876,521"
Memory Instructions,number of memory instructions,"337,743,918"
Total Cycles,cycles use by kernel,"9,797,435.48(Kcycles)"
Memory Access per Second,memory access per second,"342,261.36(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"79,313,653.0"
AP busy Duty,average AP busy duty of total cycles,0.81%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,17.64%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 29372302144.0,
        ""all_memacs"": 31627380736.0,
        ""during"": 79313653.0,
        ""block_num"": 104,
        ""vl1_memacs"": 29669461245.968964,
        ""l2c_memacs"": 99103717222.92273
    },
    ""data"": {
        ""all_ops"": 29372302144.0,
        ""all_memacs"": 31627380736.0,
        ""block_num"": 104,
        ""during"": 79313653.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 3.560874722966626,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 7.9375943131557545,
        ""case_bandwith"": 448.60880796903905,
        ""case_VL1_I"": 8.461404654059692,
        ""case_L2C_I"": 2.53315742844829,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720034039/RoofLine20260720034125223.png""
}"
WORKGROUPS,ce send workgroup,"3,028,990.0"
WAVES,ce send waves,"6,453,942.0"
Average Wave life cycles,average life cycles per wave from start to end,"17,659.43"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 6936874557.462928,
        ""MTE_16CYCLES"": 6479839977.2434435,
        ""MMA_16CYCLES"": 23039713047.83806,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720034039/Compute_Instructions_Cycles_Rate20260720034126215.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 137919248.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720034039/DPC_Computing_cycles_comparison20260720034126345.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 367991.0627836911,
        ""vls_pipeline_stall"": 4337191329.897285,
        ""vls_wdata_stall"": 289750963.9361911,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720034039/ISU_stall_cycles_layout20260720034126625.png""
}"
Instructions Comparison,Comparison between all instructions,"{
    ""data"": {
        ""MTE"": 1759210030.254572,
        ""MMA"": 284078.04936290724,
        ""STE"": 924592979.6746132,
        ""GVM"": 131718820.7035379,
        ""BSM"": 205991518.81838962,
        ""LDU"": 33578.7499903822,
        ""MISC"": 561789433.2944175
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720034039/Instructions_Comparison20260720034126454.png""
}"
