Name,Description,Value
Total Instructions,number of all instructions,"406,766,514"
Compute Instructions,number of compute instructions,"325,008,998"
Memory Instructions,number of memory instructions,"81,757,516"
Total Cycles,cycles use by kernel,"16,731.64(Kcycles)"
Memory Access per Second,memory access per second,"255,789.32(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"15,691,176.0"
AP busy Duty,average AP busy duty of total cycles,93.78%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,7.96%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 9454071808.0,
        ""all_memacs"": 4676224000.0,
        ""during"": 15691176.0,
        ""block_num"": 104,
        ""vl1_memacs"": 3897360384.0,
        ""l2c_memacs"": 22750101504.0
    },
    ""data"": {
        ""all_ops"": 9454071808.0,
        ""all_memacs"": 4676224000.0,
        ""block_num"": 104,
        ""during"": 15691176.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 5.793353959918913,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 17.279760881217097,
        ""case_bandwith"": 335.2681787521853,
        ""case_VL1_I"": 20.733015319480536,
        ""case_L2C_I"": 3.551809759301571,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015555/RoofLine20260720015643757.png""
}"
WORKGROUPS,ce send workgroup,"4,128.0"
WAVES,ce send waves,"16,512.0"
Average Wave life cycles,average life cycles per wave from start to end,"780,356.36"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 3785.166526735215,
        ""MTE_16CYCLES"": 5775.6733355409115,
        ""MMA_16CYCLES"": 7574913024.0,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015555/Compute_Instructions_Cycles_Rate20260720015644325.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 23220400.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015555/DPC_Computing_cycles_comparison20260720015644514.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 155341593.6,
        ""vls_pipeline_stall"": 921941844.0,
        ""vls_wdata_stall"": 2509824.0,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015555/ISU_stall_cycles_layout20260720015644788.png""
}"
