Name,Description,Value
Total Instructions,number of all instructions,"2,404,080,055"
Compute Instructions,number of compute instructions,"1,750,816,734"
Memory Instructions,number of memory instructions,"653,263,321"
Total Cycles,cycles use by kernel,"127,839.44(Kcycles)"
Memory Access per Second,memory access per second,"436,298.12(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"126,230,638.0"
AP busy Duty,average AP busy duty of total cycles,98.74%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,34.37%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 75079898880.0,
        ""all_memacs"": 64166082560.0,
        ""during"": 126230638.0,
        ""block_num"": 104,
        ""vl1_memacs"": 30739267584.0,
        ""l2c_memacs"": 181899362304.0
    },
    ""data"": {
        ""all_ops"": 75079898880.0,
        ""all_memacs"": 64166082560.0,
        ""block_num"": 104,
        ""during"": 126230638.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 5.719071978511148,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 10.00074356784759,
        ""case_bandwith"": 571.8646758325027,
        ""case_VL1_I"": 20.875856449159873,
        ""case_L2C_I"": 3.5278218093114564,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720023741/RoofLine20260720023830592.png""
}"
WORKGROUPS,ce send workgroup,"16,512.0"
WAVES,ce send waves,"66,048.0"
Average Wave life cycles,average life cycles per wave from start to end,"1,589,764.41"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 2437783866.1104293,
        ""MTE_16CYCLES"": 2257309618.7169814,
        ""MMA_16CYCLES"": 60599304192.0,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720023741/Compute_Instructions_Cycles_Rate20260720023831157.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 175375408.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720023741/DPC_Computing_cycles_comparison20260720023831285.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 1208209271.0886075,
        ""vls_pipeline_stall"": 7378113162.335403,
        ""vls_wdata_stall"": 10039296.0,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720023741/ISU_stall_cycles_layout20260720023831609.png""
}"
Instructions Comparison,Comparison between all instructions,"{
    ""data"": {
        ""MTE"": 633664512.0,
        ""MMA"": 923628198.4785275,
        ""STE"": 193520640.0,
        ""GVM"": 120057817.35849057,
        ""BSM"": 532611072.0,
        ""LDU"": 594432.0,
        ""MISC"": 3384.1672687946098
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720023741/Instructions_Comparison20260720023831450.png""
}"
Global Read Instructions,Number of global read instructions in all APs,591
Global Write Instructions,Number of global write instructions in all APs,5
Global Atomic Instructions,Number of global atomic instructions in all APs,0.0
Private Read Instructions,Number of private read instructions in all APs,1
Private Write Instructions,Number of private write instructions in all APs,1
Constant Read Instructions,Number of smem instructions in all APs,"594,432"
Constant Read SL1 Instructions,Num of LDU instructions in all SL1s,"594,432"
Constant Read L2 Instructions,Num of SL1 data miss requests,"3,634"
Constant SL1 Hit Rate,Total LDU instructions hit rate in all SL1s,99.39%
VL1 Read Instructions,total read instructions in all VL1s,"118,688,256"
VL1 Write Instructions,total write instructions in all VL1s,"1,387,008"
VL1 Atomic Instructions,total atomic instructions in all VL1s,0.0
VL1 Hit Rate,hit rate of all instructions in all VL1s,81.27%
L2C Read Instructions,total read instructions in all L2Cs,"1,416,803,840"
L2C Write Instructions,total write instructions in all L2Cs,"18,327,424"
L2C Atomic Instructions,total atomic instructions in all L2Cs,0.0
L2C Hit Rate,hit rate of all instructions in all L2Cs,64.99%
Total Atomic Instructions,"total atomic instructions in memory access, include global atomic and shared memory atomic",0.0
Dnoc Read Req,number of dnoc read requests,"496,161,792.0"
Dnoc Write Req,number of dnoc write requests,"4,965,408.0"
Global Memory Read bytes,bytes read from global memory,"63,530,567,680.0byte"
Global Memory Write bytes,bytes write from global memory,"635,514,880.0byte"
Dnoc Read Average Latency,average latency of dnoc read request,261.71
