Name,Description,Value
Total Instructions,number of all instructions,"245,253,557"
Compute Instructions,number of compute instructions,"229,880,208"
Memory Instructions,number of memory instructions,"15,373,349"
Total Cycles,cycles use by kernel,"16,754.64(Kcycles)"
Memory Access per Second,memory access per second,"243,752.29(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"15,717,822.0"
AP busy Duty,average AP busy duty of total cycles,93.81%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,37.13%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 9219488256.0,
        ""all_memacs"": 4463735808.0,
        ""during"": 15717822.0,
        ""block_num"": 104,
        ""vl1_memacs"": 3897360384.0,
        ""l2c_memacs"": 22750101504.0
    },
    ""data"": {
        ""all_ops"": 9219488256.0,
        ""all_memacs"": 4463735808.0,
        ""block_num"": 104,
        ""during"": 15717822.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 5.640026050585223,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 17.65316056157527,
        ""case_bandwith"": 319.4910073418569,
        ""case_VL1_I"": 20.218567737942326,
        ""case_L2C_I"": 3.4636788283877418,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720023905/RoofLine20260720023953486.png""
}"
WORKGROUPS,ce send workgroup,"4,128.0"
WAVES,ce send waves,"16,512.0"
Average Wave life cycles,average life cycles per wave from start to end,"776,137.41"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 373963776.0,
        ""MTE_16CYCLES"": 5764.586192139319,
        ""MMA_16CYCLES"": 7574913024.0,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720023905/Compute_Instructions_Cycles_Rate20260720023954054.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 23345920.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720023905/DPC_Computing_cycles_comparison20260720023954179.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 166771940.92307693,
        ""vls_pipeline_stall"": 921716661.6,
        ""vls_wdata_stall"": 2503219.2,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720023905/ISU_stall_cycles_layout20260720023954507.png""
}"
Instructions Comparison,Comparison between all instructions,"{
    ""data"": {
        ""MTE"": 970.4629669181504,
        ""MMA"": 118358016.0,
        ""STE"": 26567808.0,
        ""GVM"": 15224064.0,
        ""BSM"": 677.5539740760767,
        ""LDU"": 148608.0,
        ""MISC"": 84953414.4
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720023905/Instructions_Comparison20260720023954342.png""
}"
Global Read Instructions,Number of global read instructions in all APs,"14,794,752"
Global Write Instructions,Number of global write instructions in all APs,"264,192"
Global Atomic Instructions,Number of global atomic instructions in all APs,0.0
Private Read Instructions,Number of private read instructions in all APs,"82,560"
Private Write Instructions,Number of private write instructions in all APs,"82,560"
Constant Read Instructions,Number of smem instructions in all APs,"148,608"
Constant Read SL1 Instructions,Num of LDU instructions in all SL1s,"148,608"
Constant Read L2 Instructions,Num of SL1 data miss requests,"1,909"
Constant SL1 Hit Rate,Total LDU instructions hit rate in all SL1s,98.68%
VL1 Read Instructions,total read instructions in all VL1s,"14,877,312"
VL1 Write Instructions,total write instructions in all VL1s,"346,752"
VL1 Atomic Instructions,total atomic instructions in all VL1s,0.0
VL1 Hit Rate,hit rate of all instructions in all VL1s,81.76%
L2C Read Instructions,total read instructions in all L2Cs,"176,877,184"
L2C Write Instructions,total write instructions in all L2Cs,"4,582,656"
L2C Atomic Instructions,total atomic instructions in all L2Cs,0.0
L2C Hit Rate,hit rate of all instructions in all L2Cs,80.67%
Total Atomic Instructions,"total atomic instructions in memory access, include global atomic and shared memory atomic",0.0
Dnoc Read Req,number of dnoc read requests,"33,642,400.0"
Dnoc Write Req,number of dnoc write requests,"1,237,536.0"
Global Memory Read bytes,bytes read from global memory,"4,305,380,352.0byte"
Global Memory Write bytes,bytes write from global memory,"158,355,456.0byte"
Dnoc Read Average Latency,average latency of dnoc read request,245.68
Memory Data Flow Chart,,"{
    ""data"": {
        ""vl1c"": 81.76145607375271,
        ""l2c"": 80.66733506819453,
        ""sl1"": 98.68277009888124,
        ""global_kernel_rd"": 14794752,
        ""global_kernel_wr"": 264192,
        ""private_kernel_rd"": 82560,
        ""private_kernel_wr"": 82560,
        ""generic_kernel_rd"": 0,
        ""generic_kernel_wr"": 0,
        ""const_kernel_rd"": 148608,
        ""shared_kernel_rd"": 59179008,
        ""shared_kernel_wr"": 75,
        ""Ggeneric_vl1c_rd"": 14877312,
        ""Ggeneric_vl1c_wr"": 346752,
        ""const_sl1c_rd"": 148608,
        ""sl1_l2c_rd"": 1909,
        ""vl1c_l2c_rd"": 176877184,
        ""vl1c_l2c_wr"": 4582656,
        ""l2c_Gmemory_rd"": null,
        ""l2c_Gmemory_wr"": null
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720023905/Memory_Data_Flow_Chart20260720023954670.png""
}"
Dnoc Read Latency Histogram,histogram of dnoc read latency,"{
    ""data"": {
        ""0-255"": 26054208.0,
        ""256-511"": 8634720.0,
        ""512-1k"": 237856.0,
        ""1k-2k"": 192.0,
        ""2k-"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720023905/Dnoc_Read_Latency_Histogram20260720023954943.png""
}"
VL1 partition stall cycles layout,VL1 partition access stall cycles layout,"{
    ""data"": {
        ""pt0"": 8605821.53846154,
        ""pt1"": 6371671.2,
        ""pt2"": 7852694.4,
        ""pt3"": 5666505.6
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720023905/VL1_partition_stall_cycles_layout20260720023955076.png""
}"
load instructions,number of total workgroup memory load instructions,"59,179,008.0"
