Name,Description,Value
Total Instructions,number of all instructions,"156,940,481"
Compute Instructions,number of compute instructions,"143,485,164"
Memory Instructions,number of memory instructions,"13,455,317"
Total Cycles,cycles use by kernel,"13,234.93(Kcycles)"
Memory Access per Second,memory access per second,"84,851.66(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"12,362,224.0"
AP busy Duty,average AP busy duty of total cycles,93.41%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,26.64%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 4690437376.0,
        ""all_memacs"": 1222121472.0,
        ""during"": 12362224.0,
        ""block_num"": 104,
        ""vl1_memacs"": 3267017009.0212765,
        ""l2c_memacs"": 18806962829.617023
    },
    ""data"": {
        ""all_ops"": 4690437376.0,
        ""all_memacs"": 1222121472.0,
        ""block_num"": 104,
        ""during"": 12362224.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 3.6482399432832944,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 32.80296538467196,
        ""case_bandwith"": 111.21677264543985,
        ""case_VL1_I"": 12.270890610970572,
        ""case_L2C_I"": 2.1316152270343323,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720023905/RoofLine20260720024004832.png""
}"
WORKGROUPS,ce send workgroup,"14,448.0"
WAVES,ce send waves,"57,792.0"
Average Wave life cycles,average life cycles per wave from start to end,"175,575.16"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 389529556.4255319,
        ""MTE_16CYCLES"": 3635.2832837478027,
        ""MMA_16CYCLES"": 3760208623.4244604,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720023905/Compute_Instructions_Cycles_Rate20260720024005404.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 13107072.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720023905/DPC_Computing_cycles_comparison20260720024005532.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 48870255.30434783,
        ""vls_pipeline_stall"": 968603447.3043479,
        ""vls_wdata_stall"": 7304908.8,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720023905/ISU_stall_cycles_layout20260720024005804.png""
}"
