Name,Description,Value
Total Instructions,number of all instructions,"1,439,928,655"
Compute Instructions,number of compute instructions,"1,172,320,471"
Memory Instructions,number of memory instructions,"267,608,184"
Total Cycles,cycles use by kernel,"92,216.17(Kcycles)"
Memory Access per Second,memory access per second,"81,681.87(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"91,194,674.0"
AP busy Duty,average AP busy duty of total cycles,98.89%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,"260,329.47%"
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 37534363904.0,
        ""all_memacs"": 8678657024.0,
        ""during"": 91194674.0,
        ""block_num"": 104,
        ""vl1_memacs"": 24542881233.790615,
        ""l2c_memacs"": 151589240876.36102
    },
    ""data"": {
        ""all_ops"": 37534363904.0,
        ""all_memacs"": 8678657024.0,
        ""block_num"": 104,
        ""during"": 91194674.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 3.957548499277153,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 36.9649967969534,
        ""case_bandwith"": 107.0620544353281,
        ""case_VL1_I"": 13.071266003289416,
        ""case_L2C_I"": 2.116288248686942,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720030558/RoofLine20260720030659067.png""
}"
WORKGROUPS,ce send workgroup,"57,624.0"
WAVES,ce send waves,"230,496.0"
Average Wave life cycles,average life cycles per wave from start to end,"328,366.31"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 2326147325.4584837,
        ""MTE_16CYCLES"": 303540390.054054,
        ""MMA_16CYCLES"": 30211571712.0,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720030558/Compute_Instructions_Cycles_Rate20260720030659660.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 95687728.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720030558/DPC_Computing_cycles_comparison20260720030659788.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 10724.935454191107,
        ""vls_pipeline_stall"": 7526581851.205776,
        ""vls_wdata_stall"": 29303780.27436823,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720030558/ISU_stall_cycles_layout20260720030700062.png""
}"
Instructions Comparison,Comparison between all instructions,"{
    ""data"": {
        ""MTE"": 582222910.6137184,
        ""MMA"": 11470.774203573003,
        ""STE"": 212580656.79422382,
        ""GVM"": 2328.990005774667,
        ""BSM"": 265531392.0,
        ""LDU"": 2074463.9999999998,
        ""MISC"": 377505433.4729242
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720030558/Instructions_Comparison20260720030659897.png""
}"
Global Read Instructions,Number of global read instructions in all APs,"92,173,481"
Global Write Instructions,Number of global write instructions in all APs,"3,675,454"
Global Atomic Instructions,Number of global atomic instructions in all APs,0.0
Private Read Instructions,Number of private read instructions in all APs,0
Private Write Instructions,Number of private write instructions in all APs,0
Constant Read Instructions,Number of smem instructions in all APs,"2,074,463"
Constant Read SL1 Instructions,Num of LDU instructions in all SL1s,"2,074,464"
Constant Read L2 Instructions,Num of SL1 data miss requests,"3,640"
Constant SL1 Hit Rate,Total LDU instructions hit rate in all SL1s,99.82%
VL1 Read Instructions,total read instructions in all VL1s,"92,172,604"
