Name,Description,Value
Total Instructions,number of all instructions,"17,152,943,685"
Compute Instructions,number of compute instructions,"15,322,126,920"
Memory Instructions,number of memory instructions,"1,830,816,765"
Total Cycles,cycles use by kernel,"10,164,109.55(Kcycles)"
Memory Access per Second,memory access per second,"357,836.39(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"533,507,266.0"
AP busy Duty,average AP busy duty of total cycles,5.25%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,"34,390.30%"
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 229860089344.0,
        ""all_memacs"": 222424309760.0,
        ""during"": 533507266.0,
        ""block_num"": 104,
        ""vl1_memacs"": 172673413229.4749,
        ""l2c_memacs"": 732552012228.7816
    },
    ""data"": {
        ""all_ops"": 229860089344.0,
        ""all_memacs"": 222424309760.0,
        ""block_num"": 104,
        ""during"": 533507266.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 4.1427611348956415,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 8.832740226817716,
        ""case_bandwith"": 469.0233187564497,
        ""case_VL1_I"": 11.377641244795647,
        ""case_L2C_I"": 2.6818793961974015,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720030558/RoofLine20260720030644593.png""
}"
WORKGROUPS,ce send workgroup,"13,261,557.0"
WAVES,ce send waves,"27,175,662.0"
Average Wave life cycles,average life cycles per wave from start to end,"22,231.66"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 31060450936.453693,
        ""MTE_16CYCLES"": 25559943500.927147,
        ""MMA_16CYCLES"": 182344129932.26163,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720030558/Compute_Instructions_Cycles_Rate20260720030645512.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 796079568.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720030558/DPC_Computing_cycles_comparison20260720030645640.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 1635558.2623983568,
        ""vls_pipeline_stall"": 31744619409.156116,
        ""vls_wdata_stall"": 1048865863.0483804,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720030558/ISU_stall_cycles_layout20260720030645923.png""
}"
Instructions Comparison,Comparison between all instructions,"{
    ""data"": {
        ""MTE"": 7842318240.722016,
        ""MMA"": 1383950.9318812625,
        ""STE"": 4191818396.695065,
        ""GVM"": 354137.8645084238,
        ""BSM"": 1625881536.9794874,
        ""LDU"": 204581090.90392184,
        ""MISC"": 3286606331.823805
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720030558/Instructions_Comparison20260720030645749.png""
}"
Global Read Instructions,Number of global read instructions in all APs,"550,493,406"
Global Write Instructions,Number of global write instructions in all APs,"55,129,731"
Global Atomic Instructions,Number of global atomic instructions in all APs,"117,862,685.33"
Private Read Instructions,Number of private read instructions in all APs,"656,336"
Private Write Instructions,Number of private write instructions in all APs,"656,723"
Constant Read Instructions,Number of smem instructions in all APs,"204,581,090"
Constant Read SL1 Instructions,Num of LDU instructions in all SL1s,"204,416,738"
Constant Read L2 Instructions,Num of SL1 data miss requests,"1,698,874"
Constant SL1 Hit Rate,Total LDU instructions hit rate in all SL1s,99.30%
VL1 Read Instructions,total read instructions in all VL1s,"552,878,159"
VL1 Write Instructions,total write instructions in all VL1s,"60,386,743"
VL1 Atomic Instructions,total atomic instructions in all VL1s,"118,104,942.70"
