Name,Description,Value
Total Instructions,number of all instructions,"310,539,209"
Compute Instructions,number of compute instructions,"229,055,816"
Memory Instructions,number of memory instructions,"81,483,393"
Total Cycles,cycles use by kernel,"16,810.41(Kcycles)"
Memory Access per Second,memory access per second,"264,103.47(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"15,732,688.0"
AP busy Duty,average AP busy duty of total cycles,93.59%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,37.10%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 9219580928.0,
        ""all_memacs"": 4840992768.0,
        ""during"": 15732688.0,
        ""block_num"": 104,
        ""vl1_memacs"": 3882254336.0,
        ""l2c_memacs"": 22661922816.0
    },
    ""data"": {
        ""all_ops"": 9219580928.0,
        ""all_memacs"": 4840992768.0,
        ""block_num"": 104,
        ""during"": 15732688.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 5.634753362895432,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 16.277619233876326,
        ""case_bandwith"": 346.1656942538999,
        ""case_VL1_I"": 20.29744323053362,
        ""case_L2C_I"": 3.477191129422519,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720030753/RoofLine20260720030842187.png""
}"
WORKGROUPS,ce send workgroup,"4,112.0"
WAVES,ce send waves,"16,448.0"
Average Wave life cycles,average life cycles per wave from start to end,"781,822.17"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 372448512.0,
        ""MTE_16CYCLES"": 564232192.0,
        ""MMA_16CYCLES"": 7545552896.0,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720030753/Compute_Instructions_Cycles_Rate20260720030842757.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 22761648.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720030753/DPC_Computing_cycles_comparison20260720030842886.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 160607215.6,
        ""vls_pipeline_stall"": 918138641.6410257,
        ""vls_wdata_stall"": 2500096.0,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720030753/ISU_stall_cycles_layout20260720030843220.png""
}"
Instructions Comparison,Comparison between all instructions,"{
    ""data"": {
        ""MTE"": 968.3164791358352,
        ""MMA"": 117899264.00000001,
        ""STE"": 26530624.000000004,
        ""GVM"": 15165056.000000002,
        ""BSM"": 66318336.00000001,
        ""LDU"": 1.5028278527506465,
        ""MISC"": 84624960.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720030753/Instructions_Comparison20260720030843054.png""
}"
Global Read Instructions,Number of global read instructions in all APs,149
Global Write Instructions,Number of global write instructions in all APs,"263,168"
Global Atomic Instructions,Number of global atomic instructions in all APs,0.0
Private Read Instructions,Number of private read instructions in all APs,0
Private Write Instructions,Number of private write instructions in all APs,"82,240"
Constant Read Instructions,Number of smem instructions in all APs,1
Constant Read SL1 Instructions,Num of LDU instructions in all SL1s,"146,181"
Constant Read L2 Instructions,Num of SL1 data miss requests,"1,950"
Constant SL1 Hit Rate,Total LDU instructions hit rate in all SL1s,98.70%
VL1 Read Instructions,total read instructions in all VL1s,"14,819,648"
VL1 Write Instructions,total write instructions in all VL1s,"344,564"
VL1 Atomic Instructions,total atomic instructions in all VL1s,0.0
VL1 Hit Rate,hit rate of all instructions in all VL1s,81.75%
L2C Read Instructions,total read instructions in all L2Cs,"176,876,608"
L2C Write Instructions,total write instructions in all L2Cs,"4,581,504"
L2C Atomic Instructions,total atomic instructions in all L2Cs,0.0
