Name,Description,Value
Total Instructions,number of all instructions,"190,207,003"
Compute Instructions,number of compute instructions,"144,154,249"
Memory Instructions,number of memory instructions,"46,052,754"
Total Cycles,cycles use by kernel,"13,241.08(Kcycles)"
Memory Access per Second,memory access per second,"86,144.93(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"12,249,818.0"
AP busy Duty,average AP busy duty of total cycles,92.51%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,26.53%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 4690402048.0,
        ""all_memacs"": 1229466624.0,
        ""during"": 12249818.0,
        ""block_num"": 104,
        ""vl1_memacs"": 3301179392.0,
        ""l2c_memacs"": 19003994408.811592
    },
    ""data"": {
        ""all_ops"": 4690402048.0,
        ""all_memacs"": 1229466624.0,
        ""block_num"": 104,
        ""during"": 12249818.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 3.6816889599753804,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 32.60674638139863,
        ""case_bandwith"": 112.91187771116273,
        ""case_VL1_I"": 12.143813356618214,
        ""case_L2C_I"": 2.109498957470454,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720030753/RoofLine20260720030845966.png""
}"
WORKGROUPS,ce send workgroup,"14,392.0"
WAVES,ce send waves,"57,568.0"
Average Wave life cycles,average life cycles per wave from start to end,"175,864.91"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 392872398.8405797,
        ""MTE_16CYCLES"": 79987815.88405797,
        ""MMA_16CYCLES"": 3772776447.9999995,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720030753/Compute_Instructions_Cycles_Rate20260720030846600.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 13062736.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720030753/DPC_Computing_cycles_comparison20260720030846727.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 48893899.88405797,
        ""vls_pipeline_stall"": 965335369.6811594,
        ""vls_wdata_stall"": 7368703.999999999,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720030753/ISU_stall_cycles_layout20260720030847001.png""
}"
Instructions Comparison,Comparison between all instructions,"{
    ""data"": {
        ""MTE"": 4440.100880152653,
        ""MMA"": 58949632.0,
        ""STE"": 35599133.44927536,
        ""GVM"": 12893563.36231884,
        ""BSM"": 33159168.0,
        ""LDU"": 23.51720378123168,
        ""MISC"": 49601044.374100715
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720030753/Instructions_Comparison20260720030846837.png""
}"
Global Read Instructions,Number of global read instructions in all APs,539
Global Write Instructions,Number of global write instructions in all APs,"915,247"
Global Atomic Instructions,Number of global atomic instructions in all APs,0.0
Private Read Instructions,Number of private read instructions in all APs,0
Private Write Instructions,Number of private write instructions in all APs,0
Constant Read Instructions,Number of smem instructions in all APs,23
Constant Read SL1 Instructions,Num of LDU instructions in all SL1s,"518,111"
Constant Read L2 Instructions,Num of SL1 data miss requests,"1,981"
Constant SL1 Hit Rate,Total LDU instructions hit rate in all SL1s,99.62%
VL1 Read Instructions,total read instructions in all VL1s,"11,974,144"
VL1 Write Instructions,total write instructions in all VL1s,"915,247"
VL1 Atomic Instructions,total atomic instructions in all VL1s,0.0
VL1 Hit Rate,hit rate of all instructions in all VL1s,80.24%
L2C Read Instructions,total read instructions in all L2Cs,"148,313,088"
L2C Write Instructions,total write instructions in all L2Cs,"14,680,064"
L2C Atomic Instructions,total atomic instructions in all L2Cs,0.0
L2C Hit Rate,hit rate of all instructions in all L2Cs,93.96%
Total Atomic Instructions,"total atomic instructions in memory access, include global atomic and shared memory atomic",0.0
Dnoc Read Req,number of dnoc read requests,"5,922,912.0"
Dnoc Write Req,number of dnoc write requests,"3,677,984.0"
Global Memory Read bytes,bytes read from global memory,"759,365,632.0byte"
Global Memory Write bytes,bytes write from global memory,"470,100,992.0byte"
Dnoc Read Average Latency,average latency of dnoc read request,246.42
Memory Data Flow Chart,,"{
    ""data"": {
        ""vl1c"": 80.23785261387164,
        ""l2c"": 93.95602023508538,
        ""sl1"": 99.61755233494364,
        ""global_kernel_rd"": 539,
        ""global_kernel_wr"": 915247,
        ""private_kernel_rd"": 0,
        ""private_kernel_wr"": 0,
        ""generic_kernel_rd"": 0,
        ""generic_kernel_wr"": 0,
        ""const_kernel_rd"": 23,
        ""shared_kernel_rd"": 29474815,
        ""shared_kernel_wr"": 3684351,
        ""Ggeneric_vl1c_rd"": 11974144,
        ""Ggeneric_vl1c_wr"": 915247,
        ""const_sl1c_rd"": 518111,
        ""sl1_l2c_rd"": 1981,
        ""vl1c_l2c_rd"": 148313088,
        ""vl1c_l2c_wr"": 14680064,
        ""l2c_Gmemory_rd"": null,
        ""l2c_Gmemory_wr"": null
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720030753/Memory_Data_Flow_Chart20260720030847169.png""
}"
Dnoc Read Latency Histogram,histogram of dnoc read latency,"{
    ""data"": {
        ""0-255"": 4846144.0,
        ""256-511"": 1029184.0,
        ""512-1k"": 41760.0,
        ""1k-2k"": 704.0,
        ""2k-"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720030753/Dnoc_Read_Latency_Histogram20260720030847437.png""
}"
VL1 partition stall cycles layout,VL1 partition access stall cycles layout,"{
    ""data"": {
        ""pt0"": 1150942.84057971,
        ""pt1"": 1669784.8695652173,
        ""pt2"": 3929433.1594202896,
        ""pt3"": 1854273.6231884058
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720030753/VL1_partition_stall_cycles_layout20260720030847569.png""
}"
load instructions,number of total workgroup memory load instructions,"29,474,816.00"
store instructions,number of total workgroup memory write instructions,"3,684,352.00"
atomic instructions,number of total workgroup memory atomic instructions,0.0
total instructions,number of total workgroup memory instructions,"33,159,168.0"
average latency per load instruction,average latency per WG-load from issue to mem-ops done,73.78
average latency per store instruction,average latency per WG-store from issue to memops done,54.37
average latency per atomic instruction,average latency per WG-atom from issue to memops done,0
average latency of all stages per instruction,average latency of all WG-inst from issue to memops done,80.96
average cycles per load instruction,average cycles per WG-load when issuing (with bank conflict),8.00
average cycles per store instruction,average cycles per WG-store when issuing (with bank conflict),8.0
average cycles per atomic instruction,average cycles per WG-atom when issuing (with bank conflict),0
average conflict cycles per instruction,average conflict cycles per WG-inst when bank conflict happens,0.00
average cycles per instruction,average cycles per WG-inst when issuing (with bank conflict),8.0
shared memory access efficiency,Proportion of NON-CONFLICT access,100.00%
Achieved waves,number of achieved waves,"57,568.00"
Dispatched waves,number of dispatched waves,"57,568.0"
AP active cycles,number of wave instruction cycles executed on the AP,"1,277,531,743.88"
AP MTE Duty ratio,MTE Duty ratio relative to AP active,7.79%
AP STE Duty ratio,STE Duty ratio relative to AP active,2.79%
AP MMA Duty ratio,MMA Duty ratio relative to AP active,18.46%
VLS Duty ratio,VLS Duty ratio relative to AP active,0.0%
L2C Duty ratio,L2C Duty ratio relative to L2C active,38.43%
instruction per cycle,The number of instructions per busy cycle across all sub-unit instances,15.53
instruction throughput,The percent of achieved instructions and theoretical instructions during all busy cycles ,0.15
instruction throughput efficiency,The percentage of the maximum instruction throughput achieved during all busy cycles ,3.73%
instruction number,The total number of instructions,"190,207,004.80"
instructions per AP,The number of instructions per PEU,"1,828,913.51"
