Name,Description,Value
Total Instructions,number of all instructions,"2,177,095,628"
Compute Instructions,number of compute instructions,"1,837,685,950"
Memory Instructions,number of memory instructions,"339,409,678"
Total Cycles,cycles use by kernel,"9,564,017.82(Kcycles)"
Memory Access per Second,memory access per second,"339,455.85(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"80,118,787.0"
AP busy Duty,average AP busy duty of total cycles,0.84%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,43.01%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 29371478912.0,
        ""all_memacs"": 31686557696.0,
        ""during"": 80118787.0,
        ""block_num"": 104,
        ""vl1_memacs"": 29862908492.90786,
        ""l2c_memacs"": 100025094148.75703
    },
    ""data"": {
        ""all_ops"": 29371478912.0,
        ""all_memacs"": 31686557696.0,
        ""block_num"": 104,
        ""during"": 80118787.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 3.5249917907711015,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 7.922548220844938,
        ""case_bandwith"": 444.9315665250898,
        ""case_VL1_I"": 8.40635738339969,
        ""case_L2C_I"": 2.5097530118372284,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720030753/RoofLine20260720030839023.png""
}"
WORKGROUPS,ce send workgroup,"3,028,990.0"
WAVES,ce send waves,"6,453,942.0"
Average Wave life cycles,average life cycles per wave from start to end,"16,416.07"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 6946480763.3682785,
        ""MTE_16CYCLES"": 6501699389.487982,
        ""MMA_16CYCLES"": 23076524373.388107,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720030753/Compute_Instructions_Cycles_Rate20260720030840008.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 138100052.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720030753/DPC_Computing_cycles_comparison20260720030840137.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 447161632.8994305,
        ""vls_pipeline_stall"": 4224022855.254114,
        ""vls_wdata_stall"": 277482015.5958792,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720030753/ISU_stall_cycles_layout20260720030840407.png""
}"
Instructions Comparison,Comparison between all instructions,"{
    ""data"": {
        ""MTE"": 1348880.2540963606,
        ""MMA"": 360708346.3657001,
        ""STE"": 925021721.6777836,
        ""GVM"": 132487093.30891827,
        ""BSM"": 206889412.6840012,
        ""LDU"": 33172.0528616749,
        ""MISC"": 550607001.9532773
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720030753/Instructions_Comparison20260720030840246.png""
}"
Global Read Instructions,Number of global read instructions in all APs,"67,296"
Global Write Instructions,Number of global write instructions in all APs,"15,100,627"
Global Atomic Instructions,Number of global atomic instructions in all APs,"29,441,548.23"
Private Read Instructions,Number of private read instructions in all APs,127
Private Write Instructions,Number of private write instructions in all APs,"164,177"
Constant Read Instructions,Number of smem instructions in all APs,"33,172"
Constant Read SL1 Instructions,Num of LDU instructions in all SL1s,"43,010,835"
Constant Read L2 Instructions,Num of SL1 data miss requests,"445,334"
Constant SL1 Hit Rate,Total LDU instructions hit rate in all SL1s,99.15%
VL1 Read Instructions,total read instructions in all VL1s,"87,650,389"
VL1 Write Instructions,total write instructions in all VL1s,"15,247,026"
VL1 Atomic Instructions,total atomic instructions in all VL1s,"29,483,510.16"
VL1 Hit Rate,hit rate of all instructions in all VL1s,86.50%
L2C Read Instructions,total read instructions in all L2Cs,"781,512,608"
L2C Write Instructions,total write instructions in all L2Cs,"171,288,512"
L2C Atomic Instructions,total atomic instructions in all L2Cs,"58,719,744.0"
L2C Hit Rate,hit rate of all instructions in all L2Cs,74.08%
Total Atomic Instructions,"total atomic instructions in memory access, include global atomic and shared memory atomic","29,423,315.34"
Dnoc Read Req,number of dnoc read requests,"171,772,768.0"
Dnoc Write Req,number of dnoc write requests,"83,405,472.0"
Global Memory Read bytes,bytes read from global memory,"21,011,578,880.0byte"
Global Memory Write bytes,bytes write from global memory,"10,674,978,816.0byte"
Dnoc Read Average Latency,average latency of dnoc read request,297.13
Memory Data Flow Chart,,"{
    ""data"": {
        ""vl1c"": 86.49714911437125,
        ""l2c"": 74.07586385764394,
        ""sl1"": 99.1474857551829,
        ""global_kernel_rd"": 67296,
        ""global_kernel_wr"": 15100627,
        ""private_kernel_rd"": 127,
        ""private_kernel_wr"": 164177,
        ""generic_kernel_rd"": 0,
        ""generic_kernel_wr"": 0,
        ""const_kernel_rd"": 33172,
        ""shared_kernel_rd"": 178457161,
        ""shared_kernel_wr"": 25303373,
        ""Ggeneric_vl1c_rd"": 87650389,
        ""Ggeneric_vl1c_wr"": 15247026,
        ""const_sl1c_rd"": 43010835,
        ""sl1_l2c_rd"": 445334,
        ""vl1c_l2c_rd"": 781512608,
        ""vl1c_l2c_wr"": 171288512,
        ""l2c_Gmemory_rd"": null,
        ""l2c_Gmemory_wr"": null
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720030753/Memory_Data_Flow_Chart20260720030840574.png""
}"
Dnoc Read Latency Histogram,histogram of dnoc read latency,"{
    ""data"": {
        ""0-255"": 105953504.0,
        ""256-511"": 53562400.0,
        ""512-1k"": 11145056.0,
        ""1k-2k"": 265696.0,
        ""2k-"": 5984.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720030753/Dnoc_Read_Latency_Histogram20260720030840846.png""
}"
VL1 partition stall cycles layout,VL1 partition access stall cycles layout,"{
    ""data"": {
        ""pt0"": 156073319.17514524,
        ""pt1"": 123033258.99067067,
        ""pt2"": 100215477.82706346,
        ""pt3"": 84884427.73148312
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720030753/VL1_partition_stall_cycles_layout20260720030840985.png""
}"
load instructions,number of total workgroup memory load instructions,"178,457,161.10"
store instructions,number of total workgroup memory write instructions,"25,303,373.64"
atomic instructions,number of total workgroup memory atomic instructions,856.56
total instructions,number of total workgroup memory instructions,"206,889,412.68"
average latency per load instruction,average latency per WG-load from issue to mem-ops done,89.08
average latency per store instruction,average latency per WG-store from issue to memops done,53.57
average latency per atomic instruction,average latency per WG-atom from issue to memops done,"58,870.30"
average latency of all stages per instruction,average latency of all WG-inst from issue to memops done,95.12
average cycles per load instruction,average cycles per WG-load when issuing (with bank conflict),7.99
average cycles per store instruction,average cycles per WG-store when issuing (with bank conflict),7.39
average cycles per atomic instruction,average cycles per WG-atom when issuing (with bank conflict),"8,434.67"
average conflict cycles per instruction,average conflict cycles per WG-inst when bank conflict happens,0.00
average cycles per instruction,average cycles per WG-inst when issuing (with bank conflict),7.83
shared memory access efficiency,Proportion of NON-CONFLICT access,99.97%
Achieved waves,number of achieved waves,"6,453,942.0"
Dispatched waves,number of dispatched waves,"6,454,144.0"
AP active cycles,number of wave instruction cycles executed on the AP,"8,337,208,435.99"
AP MTE Duty ratio,MTE Duty ratio relative to AP active,22.05%
AP STE Duty ratio,STE Duty ratio relative to AP active,11.10%
AP MMA Duty ratio,MMA Duty ratio relative to AP active,17.31%
VLS Duty ratio,VLS Duty ratio relative to AP active,0.0%
L2C Duty ratio,L2C Duty ratio relative to L2C active,0.33%
instruction per cycle,The number of instructions per busy cycle across all sub-unit instances,27.17
instruction throughput,The percent of achieved instructions and theoretical instructions during all busy cycles ,0.26
instruction throughput efficiency,The percentage of the maximum instruction throughput achieved during all busy cycles ,6.53%
instruction number,The total number of instructions,"2,177,095,628.30"
instructions per AP,The number of instructions per PEU,"20,933,611.81"
