Name,Description,Value
Total Instructions,number of all instructions,"2,034,956,812"
Compute Instructions,number of compute instructions,"1,501,750,705"
Memory Instructions,number of memory instructions,"533,206,107"
Total Cycles,cycles use by kernel,"127,772.21(Kcycles)"
Memory Access per Second,memory access per second,"448,172.79(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"126,220,556.0"
AP busy Duty,average AP busy duty of total cycles,98.79%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,"1,159,589.85%"
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 75081226240.0,
        ""all_memacs"": 65907218432.0,
        ""during"": 126220556.0,
        ""block_num"": 104,
        ""vl1_memacs"": 30719714052.83019,
        ""l2c_memacs"": 181141871001.6
    },
    ""data"": {
        ""all_ops"": 75081226240.0,
        ""all_memacs"": 65907218432.0,
        ""block_num"": 104,
        ""during"": 126220556.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 5.719629912676884,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 9.736716215011548,
        ""case_bandwith"": 587.4290455193368,
        ""case_VL1_I"": 20.889513531589696,
        ""case_L2C_I"": 3.54263693338739,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260718032348/RoofLine20260718032447509.png""
}"
WORKGROUPS,ce send workgroup,"16,512.0"
WAVES,ce send waves,"66,048.0"
Average Wave life cycles,average life cycles per wave from start to end,"1,582,171.10"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 12573.783898923064,
        ""MTE_16CYCLES"": 2257256448.0,
        ""MMA_16CYCLES"": 60599304192.0,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260718032348/Compute_Instructions_Cycles_Rate20260718032448077.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 174464864.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260718032348/DPC_Computing_cycles_comparison20260718032448251.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 1199459407.6981132,
        ""vls_pipeline_stall"": 37176.45065572362,
        ""vls_wdata_stall"": 9979478.943396227,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260718032348/ISU_stall_cycles_layout20260718032448526.png""
}"
Instructions Comparison,Comparison between all instructions,"{
    ""data"": {
        ""MTE"": 632000019.3207548,
        ""MMA"": 4763.934826760427,
        ""STE"": 193350431.3962264,
        ""GVM"": 603.0634110025628,
        ""BSM"": 532611072.0,
        ""LDU"": 594432.0,
        ""MISC"": 676395491.018868
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260718032348/Instructions_Comparison20260718032448358.png""
}"
Global Read Instructions,Number of global read instructions in all APs,"117,988,147"
Global Write Instructions,Number of global write instructions in all APs,"1,049,290"
Global Atomic Instructions,Number of global atomic instructions in all APs,0.0
Private Read Instructions,Number of private read instructions in all APs,"330,240"
Private Write Instructions,Number of private write instructions in all APs,"330,240"
Constant Read Instructions,Number of smem instructions in all APs,"594,432"
Constant Read SL1 Instructions,Num of LDU instructions in all SL1s,"592,574"
Constant Read L2 Instructions,Num of SL1 data miss requests,"3,612"
Constant SL1 Hit Rate,Total LDU instructions hit rate in all SL1s,99.39%
VL1 Read Instructions,total read instructions in all VL1s,"118,641,731"
VL1 Write Instructions,total write instructions in all VL1s,"1,380,403"
VL1 Atomic Instructions,total atomic instructions in all VL1s,0.0
VL1 Hit Rate,hit rate of all instructions in all VL1s,81.26%
L2C Read Instructions,total read instructions in all L2Cs,"1,418,182,016"
