Name,Description,Value
Total Instructions,number of all instructions,"1,442,805,006"
Compute Instructions,number of compute instructions,"1,174,416,623"
Memory Instructions,number of memory instructions,"268,388,383"
Total Cycles,cycles use by kernel,"92,376.66(Kcycles)"
Memory Access per Second,memory access per second,"88,696.16(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"91,326,170.0"
AP busy Duty,average AP busy duty of total cycles,98.86%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,"260,184.63%"
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 37601869824.0,
        ""all_memacs"": 9437510656.0,
        ""during"": 91326170.0,
        ""block_num"": 104,
        ""vl1_memacs"": 24606258325.448647,
        ""l2c_memacs"": 151994018198.6426
    },
    ""data"": {
        ""all_ops"": 37601869824.0,
        ""all_memacs"": 9437510656.0,
        ""block_num"": 104,
        ""during"": 91326170.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 3.9589576636727966,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 34.0538426375082,
        ""case_bandwith"": 116.25582774357011,
        ""case_VL1_I"": 13.061047255479911,
        ""case_L2C_I"": 2.114448361705993,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260718032348/RoofLine20260718032451317.png""
}"
WORKGROUPS,ce send workgroup,"57,792.0"
WAVES,ce send waves,"231,168.0"
Average Wave life cycles,average life cycles per wave from start to end,"328,030.69"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 56669.347395964665,
        ""MTE_16CYCLES"": 304227102.498195,
        ""MMA_16CYCLES"": 30299652096.0,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260718032348/Compute_Instructions_Cycles_Rate20260718032451942.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 95978656.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260718032348/DPC_Computing_cycles_comparison20260718032452073.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 444265118.4432432,
        ""vls_pipeline_stall"": 183041.88416669614,
        ""vls_wdata_stall"": 29449553.643243242,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260718032348/ISU_stall_cycles_layout20260718032452349.png""
}"
Instructions Comparison,Comparison between all instructions,"{
    ""data"": {
        ""MTE"": 582478499.9136691,
        ""MMA"": 11529.041389325997,
        ""STE"": 213320476.7135135,
        ""GVM"": 2335.175682851914,
        ""BSM"": 266305536.0,
        ""LDU"": 2080512.0,
        ""MISC"": 378606117.3621622
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260718032348/Instructions_Comparison20260718032452182.png""
}"
Global Read Instructions,Number of global read instructions in all APs,"92,424,638"
Global Write Instructions,Number of global write instructions in all APs,"3,681,194"
Global Atomic Instructions,Number of global atomic instructions in all APs,0.0
Private Read Instructions,Number of private read instructions in all APs,0
Private Write Instructions,Number of private write instructions in all APs,0
Constant Read Instructions,Number of smem instructions in all APs,"2,080,512"
Constant Read SL1 Instructions,Num of LDU instructions in all SL1s,"2,082,389"
Constant Read L2 Instructions,Num of SL1 data miss requests,"3,651"
Constant SL1 Hit Rate,Total LDU instructions hit rate in all SL1s,99.83%
VL1 Read Instructions,total read instructions in all VL1s,"92,441,375"
VL1 Write Instructions,total write instructions in all VL1s,"3,682,831"
VL1 Atomic Instructions,total atomic instructions in all VL1s,0.0
VL1 Hit Rate,hit rate of all instructions in all VL1s,79.72%
L2C Read Instructions,total read instructions in all L2Cs,"1,185,171,456"
L2C Write Instructions,total write instructions in all L2Cs,"58,720,256"
L2C Atomic Instructions,total atomic instructions in all L2Cs,0.0
L2C Hit Rate,hit rate of all instructions in all L2Cs,94.00%
Total Atomic Instructions,"total atomic instructions in memory access, include global atomic and shared memory atomic",0.0
Dnoc Read Req,number of dnoc read requests,"59,099,424.0"
Dnoc Write Req,number of dnoc write requests,"14,698,400.0"
Global Memory Read bytes,bytes read from global memory,"7,557,167,104.0byte"
Global Memory Write bytes,bytes write from global memory,"1,880,343,552.0byte"
Dnoc Read Average Latency,average latency of dnoc read request,223.76
Memory Data Flow Chart,,"{
    ""data"": {
        ""vl1c"": 79.7186158676232,
        ""l2c"": 94.001490597156,
        ""sl1"": 99.82529645992423,
        ""global_kernel_rd"": 92424638,
        ""global_kernel_wr"": 3681194,
        ""private_kernel_rd"": 0,
        ""private_kernel_wr"": 0,
        ""generic_kernel_rd"": 0,
        ""generic_kernel_wr"": 0,
        ""const_kernel_rd"": 2080512,
        ""shared_kernel_rd"": 236716032,
        ""shared_kernel_wr"": 29589504,
        ""Ggeneric_vl1c_rd"": 92441375,
        ""Ggeneric_vl1c_wr"": 3682831,
        ""const_sl1c_rd"": 2082389,
        ""sl1_l2c_rd"": 3651,
        ""vl1c_l2c_rd"": 1185171456,
        ""vl1c_l2c_wr"": 58720256,
        ""l2c_Gmemory_rd"": null,
        ""l2c_Gmemory_wr"": null
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260718032348/Memory_Data_Flow_Chart20260718032452517.png""
}"
Dnoc Read Latency Histogram,histogram of dnoc read latency,"{
    ""data"": {
        ""0-255"": 51600960.0,
        ""256-511"": 7809696.0,
        ""512-1k"": 87232.0,
        ""1k-2k"": 96.0,
        ""2k-"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260718032348/Dnoc_Read_Latency_Histogram20260718032452785.png""
}"
VL1 partition stall cycles layout,VL1 partition access stall cycles layout,"{
    ""data"": {
        ""pt0"": 7842665.438848921,
        ""pt1"": 2481515.589189189,
        ""pt2"": 4222258.483754513,
        ""pt3"": 7439416.028880867
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260718032348/VL1_partition_stall_cycles_layout20260718032452917.png""
}"
load instructions,number of total workgroup memory load instructions,"236,716,032.0"
store instructions,number of total workgroup memory write instructions,"29,589,504.0"
atomic instructions,number of total workgroup memory atomic instructions,0.0
total instructions,number of total workgroup memory instructions,"266,305,536.0"
average latency per load instruction,average latency per WG-load from issue to mem-ops done,74.10
average latency per store instruction,average latency per WG-store from issue to memops done,58.65
average latency per atomic instruction,average latency per WG-atom from issue to memops done,0
average latency of all stages per instruction,average latency of all WG-inst from issue to memops done,72.47
average cycles per load instruction,average cycles per WG-load when issuing (with bank conflict),0.00
average cycles per store instruction,average cycles per WG-store when issuing (with bank conflict),8.0
average cycles per atomic instruction,average cycles per WG-atom when issuing (with bank conflict),0
average conflict cycles per instruction,average conflict cycles per WG-inst when bank conflict happens,3.56
average cycles per instruction,average cycles per WG-inst when issuing (with bank conflict),0.89
shared memory access efficiency,Proportion of NON-CONFLICT access,-299.92%
Achieved waves,number of achieved waves,"231,168.00"
Dispatched waves,number of dispatched waves,"231,168.0"
AP active cycles,number of wave instruction cycles executed on the AP,"231,168.0"
AP MTE Duty ratio,MTE Duty ratio relative to AP active,"2,063.68%"
AP STE Duty ratio,STE Duty ratio relative to AP active,"92,279.41%"
AP MMA Duty ratio,MMA Duty ratio relative to AP active,19.95%
VLS Duty ratio,VLS Duty ratio relative to AP active,0.0%
