Name,Description,Value
Total Instructions,number of all instructions,"17,160,153,139"
Compute Instructions,number of compute instructions,"15,329,885,733"
Memory Instructions,number of memory instructions,"1,830,267,406"
Total Cycles,cycles use by kernel,"20,421,119.35(Kcycles)"
Memory Access per Second,memory access per second,"365,100.58(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"534,984,011.0"
AP busy Duty,average AP busy duty of total cycles,2.62%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,"34,481.61%"
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 229895938368.0,
        ""all_memacs"": 227567754240.0,
        ""during"": 534984011.0,
        ""block_num"": 104,
        ""vl1_memacs"": 170192734431.40622,
        ""l2c_memacs"": 728552060027.7745
    },
    ""data"": {
        ""all_ops"": 229895938368.0,
        ""all_memacs"": 227567754240.0,
        ""block_num"": 104,
        ""during"": 534984011.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 4.131969971945717,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 8.634450679165987,
        ""case_bandwith"": 478.5446261121998,
        ""case_VL1_I"": 11.545278690764443,
        ""case_L2C_I"": 2.697024218254132,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260718032348/RoofLine20260718032444386.png""
}"
WORKGROUPS,ce send workgroup,"13,261,989.0"
WAVES,ce send waves,"27,177,390.0"
Average Wave life cycles,average life cycles per wave from start to end,"22,139.24"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 15093265.535375264,
        ""MTE_16CYCLES"": 25511551072.53292,
        ""MMA_16CYCLES"": 182813175700.20972,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260718032348/Compute_Instructions_Cycles_Rate20260718032445311.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 797164736.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260718032348/DPC_Computing_cycles_comparison20260718032445441.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 3359449328.699001,
        ""vls_pipeline_stall"": 15423529.901767962,
        ""vls_wdata_stall"": 1048123494.1891602,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260718032348/ISU_stall_cycles_layout20260718032445725.png""
}"
Instructions Comparison,Comparison between all instructions,"{
    ""data"": {
        ""MTE"": 7846378191.824408,
        ""MMA"": 1387022.972795419,
        ""STE"": 4194988332.2491117,
        ""GVM"": 354918.1619320208,
        ""BSM"": 1625061799.9727466,
        ""LDU"": 204850688.47232285,
        ""MISC"": 3287132186.439883
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260718032348/Instructions_Comparison20260718032445550.png""
}"
Global Read Instructions,Number of global read instructions in all APs,"550,137,915"
Global Write Instructions,Number of global write instructions in all APs,"57,288,679"
Global Atomic Instructions,Number of global atomic instructions in all APs,"117,283,380.11"
Private Read Instructions,Number of private read instructions in all APs,"659,758"
Private Write Instructions,Number of private write instructions in all APs,"661,397"
Constant Read Instructions,Number of smem instructions in all APs,"204,850,688"
Constant Read SL1 Instructions,Num of LDU instructions in all SL1s,"204,598,763"
Constant Read L2 Instructions,Num of SL1 data miss requests,"1,633,184"
Constant SL1 Hit Rate,Total LDU instructions hit rate in all SL1s,99.32%
VL1 Read Instructions,total read instructions in all VL1s,"550,627,125"
VL1 Write Instructions,total write instructions in all VL1s,"57,292,082"
VL1 Atomic Instructions,total atomic instructions in all VL1s,"117,929,664.61"
VL1 Hit Rate,hit rate of all instructions in all VL1s,84.49%
L2C Read Instructions,total read instructions in all L2Cs,"5,719,483,232"
L2C Write Instructions,total write instructions in all L2Cs,"661,467,904"
L2C Atomic Instructions,total atomic instructions in all L2Cs,"234,880,000.0"
L2C Hit Rate,hit rate of all instructions in all L2Cs,72.23%
Total Atomic Instructions,"total atomic instructions in memory access, include global atomic and shared memory atomic","118,142,600.01"
Dnoc Read Req,number of dnoc read requests,"1,484,106,752.0"
Dnoc Write Req,number of dnoc write requests,"322,269,056.0"
Global Memory Read bytes,bytes read from global memory,"186,318,997,504.0byte"
Global Memory Write bytes,bytes write from global memory,"41,248,756,736.0byte"
Dnoc Read Average Latency,average latency of dnoc read request,272.17
Memory Data Flow Chart,,"{
    ""data"": {
        ""vl1c"": 84.49230799920642,
        ""l2c"": 72.22589541689483,
        ""sl1"": 99.32264261469518,
        ""global_kernel_rd"": 550137915,
        ""global_kernel_wr"": 57288679,
        ""private_kernel_rd"": 659758,
        ""private_kernel_wr"": 661397,
        ""generic_kernel_rd"": 0,
        ""generic_kernel_wr"": 0,
        ""const_kernel_rd"": 204850688,
        ""shared_kernel_rd"": 1439021795,
        ""shared_kernel_wr"": 191248384,
        ""Ggeneric_vl1c_rd"": 550627125,
        ""Ggeneric_vl1c_wr"": 57292082,
        ""const_sl1c_rd"": 204598763,
        ""sl1_l2c_rd"": 1633184,
        ""vl1c_l2c_rd"": 5719483232,
        ""vl1c_l2c_wr"": 661467904,
        ""l2c_Gmemory_rd"": null,
        ""l2c_Gmemory_wr"": null
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260718032348/Memory_Data_Flow_Chart20260718032445890.png""
}"
Dnoc Read Latency Histogram,histogram of dnoc read latency,"{
    ""data"": {
        ""0-255"": 954277664.0,
        ""256-511"": 501818208.0,
        ""512-1k"": 51737280.0,
        ""1k-2k"": 1255168.0,
        ""2k-"": 11968.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260718032348/Dnoc_Read_Latency_Histogram20260718032446164.png""
}"
VL1 partition stall cycles layout,VL1 partition access stall cycles layout,"{
    ""data"": {
        ""pt0"": 894032343.0765917,
        ""pt1"": 718042442.1745214,
        ""pt2"": 647478298.6434598,
        ""pt3"": 590210304.0726258
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260718032348/VL1_partition_stall_cycles_layout20260718032446304.png""
}"
load instructions,number of total workgroup memory load instructions,"1,439,021,795.62"
store instructions,number of total workgroup memory write instructions,"191,248,384.74"
atomic instructions,number of total workgroup memory atomic instructions,"520,493.95"
total instructions,number of total workgroup memory instructions,"1,625,061,799.97"
average latency per load instruction,average latency per WG-load from issue to mem-ops done,85.24
average latency per store instruction,average latency per WG-store from issue to memops done,56.33
average latency per atomic instruction,average latency per WG-atom from issue to memops done,107.14
average latency of all stages per instruction,average latency of all WG-inst from issue to memops done,82.15
average cycles per load instruction,average cycles per WG-load when issuing (with bank conflict),0.00
average cycles per store instruction,average cycles per WG-store when issuing (with bank conflict),7.51
average cycles per atomic instruction,average cycles per WG-atom when issuing (with bank conflict),0.03
average conflict cycles per instruction,average conflict cycles per WG-inst when bank conflict happens,3.50
